"RecordedDate","Vignette"
"Recorded Date","Are the measure's question(s) and response option(s) inseperably tied to a vignette describing some form of quoted text, visual, imagined scenario, cognitive task, or game?"
"{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""QID1""}"
"2023-04-27 06:57:23","True"
"2023-04-27 06:57:39","True"
"2023-04-27 06:58:04","False"
"2023-04-27 06:58:52","True"
"2023-04-27 06:59:04","False"
"2023-04-27 06:59:43","False"
"2023-04-27 06:59:54","False"
"2023-04-27 07:00:23","True"
"2023-04-27 07:01:07","True"
"2023-04-27 07:02:03","True"
"2023-04-27 07:02:31","True"
"2023-04-27 07:03:37","True"
"2023-04-27 07:03:58","False"
"2023-04-27 07:04:17","False"
"2023-04-27 07:41:36","True"
"2023-04-27 07:42:03","False"
"2023-04-27 07:42:25","True"
"2023-04-27 07:42:45","False"
"2023-04-27 07:43:07","False"
"2023-04-27 07:43:44","True"
"2023-04-27 07:44:13","True"
"2023-04-27 07:44:39","True"
"2023-04-27 07:44:53","False"
"2023-04-27 07:45:15","True"
"2023-04-27 07:45:47","False"
"2023-04-27 07:47:10","True"
"2023-04-27 07:48:06","False"
"2023-04-27 07:48:19","False"
"2023-04-27 07:49:02","True"
"2023-04-27 07:49:13","True"
"2023-04-27 07:49:53","True"
"2023-04-27 07:50:13","True"
"2023-04-27 07:50:39","True"
"2023-04-27 07:51:39","False"
"2023-04-27 07:51:50","False"
"2023-04-27 07:52:09","True"
"2023-04-27 07:52:32","True"
"2023-04-27 07:52:52","True"
"2023-04-27 07:54:04","False"
"2023-04-27 07:54:36","False"
"2023-04-27 07:55:15","False"
"2023-04-27 07:55:47","True"
"2023-04-27 07:56:09","True"
"2023-04-27 07:56:34","False"
"2023-04-27 07:58:54","True"
"2023-04-27 07:59:20","False"
"2023-04-27 07:59:32","True"
"2023-04-27 07:59:55","False"
"2023-04-27 08:00:11","False"
"2023-04-27 08:00:51","True"
"2023-04-27 08:01:52","False"
"2023-04-27 08:02:05","False"
"2023-04-27 08:03:17","True"
"2023-04-27 08:03:29","False"
"2023-04-27 08:03:47","False"
"2023-04-27 08:04:28","True"
