"g","elm_01","elm_02","elm_03","elm_04","elm_05"
"MontanaStateUniversity",7,5,5,7,6
"MontanaStateUniversity",7,6,9,8,6
"MontanaStateUniversity",4,1,6,2,3
"MontanaStateUniversity",6,3,3,3,4
"NovaSoutheasternUniversity",8,6,9,7,8
"NovaSoutheasternUniversity",7,4,8,7,6
"NovaSoutheasternUniversity",5,4,4,6,4
"NovaSoutheasternUniversity",9,9,9,8,9
"NovaSoutheasternUniversity",9,7,9,8,9
"NovaSoutheasternUniversity",7,6,6,7,7
"NovaSoutheasternUniversity",8,7,7,9,7
"NovaSoutheasternUniversity",8,9,7,8,7
"NovaSoutheasternUniversity",7,8,8,6,7
"NovaSoutheasternUniversity",7,6,7,5,5
"NovaSoutheasternUniversity",8,7,8,7,7
"NovaSoutheasternUniversity",6,7,4,6,6
"NovaSoutheasternUniversity",3,5,5,5,5
"NovaSoutheasternUniversity",6,7,7,7,6
"NovaSoutheasternUniversity",5,3,1,3,4
"NovaSoutheasternUniversity",9,8,9,9,9
"NovaSoutheasternUniversity",5,4,5,6,6
"NovaSoutheasternUniversity",3,2,6,6,5
"NovaSoutheasternUniversity",9,7,8,9,9
"NovaSoutheasternUniversity",8,8,9,7,9
"NovaSoutheasternUniversity",6,5,7,8,5
"NovaSoutheasternUniversity",5,5,4,4,6
"NovaSoutheasternUniversity",3,4,3,2,3
"NovaSoutheasternUniversity",9,8,9,7,8
"NovaSoutheasternUniversity",8,5,1,8,4
"NovaSoutheasternUniversity",6,5,7,6,6
"NovaSoutheasternUniversity",5,5,6,4,5
"NovaSoutheasternUniversity",9,7,7,6,7
"NovaSoutheasternUniversity",6,5,7,5,6
"NovaSoutheasternUniversity",5,4,6,6,6
"NovaSoutheasternUniversity",7,6,6,6,5
"NovaSoutheasternUniversity",8,6,8,9,8
"NovaSoutheasternUniversity",6,6,4,4,5
"NovaSoutheasternUniversity",7,5,7,8,5
"NovaSoutheasternUniversity",3,1,1,3,4
"NovaSoutheasternUniversity",8,7,6,6,6
"NovaSoutheasternUniversity",5,6,5,4,6
"NovaSoutheasternUniversity",9,9,9,8,9
"NovaSoutheasternUniversity",9,5,7,9,6
"NovaSoutheasternUniversity",8,4,6,4,6
"NovaSoutheasternUniversity",8,7,8,8,8
"NovaSoutheasternUniversity",8,5,6,8,7
"NovaSoutheasternUniversity",7,7,6,6,6
"NovaSoutheasternUniversity",7,7,8,7,6
"NovaSoutheasternUniversity",5,5,2,4,4
"NovaSoutheasternUniversity",9,7,9,7,7
"NovaSoutheasternUniversity",6,5,5,5,7
"NovaSoutheasternUniversity",7,9,9,8,9
"NovaSoutheasternUniversity",7,6,7,7,8
"NovaSoutheasternUniversity",3,6,4,4,5
"NovaSoutheasternUniversity",8,2,6,5,5
"NovaSoutheasternUniversity",6,6,5,7,6
"NovaSoutheasternUniversity",8,6,8,7,7
"NovaSoutheasternUniversity",7,6,6,7,8
"NovaSoutheasternUniversity",8,8,8,8,9
"NovaSoutheasternUniversity",6,8,9,7,5
"NovaSoutheasternUniversity",5,3,4,2,3
"NovaSoutheasternUniversity",8,8,9,7,8
"NovaSoutheasternUniversity",3,1,5,5,5
"NovaSoutheasternUniversity",9,9,9,9,9
"NovaSoutheasternUniversity",5,5,5,5,3
"NovaSoutheasternUniversity",1,5,3,7,7
"NovaSoutheasternUniversity",4,1,1,3,5
"NovaSoutheasternUniversity",5,7,5,6,7
"NovaSoutheasternUniversity",5,5,5,7,5
"NovaSoutheasternUniversity",6,5,7,7,5
"NovaSoutheasternUniversity",8,5,8,4,7
"NovaSoutheasternUniversity",8,8,9,9,9
"NovaSoutheasternUniversity",4,4,4,5,4
"NovaSoutheasternUniversity",8,2,5,7,6
"NovaSoutheasternUniversity",9,4,7,7,5
"NovaSoutheasternUniversity",3,5,3,4,5
"NovaSoutheasternUniversity",3,3,2,3,1
"NovaSoutheasternUniversity",3,2,3,6,4
"NovaSoutheasternUniversity",7,5,7,6,6
"NovaSoutheasternUniversity",7,7,6,5,7
"NovaSoutheasternUniversity",8,4,9,2,5
"NovaSoutheasternUniversity",3,6,5,5,4
"NovaSoutheasternUniversity",6,8,5,3,7
"NovaSoutheasternUniversity",9,7,8,9,7
"NovaSoutheasternUniversity",7,4,5,8,9
"NovaSoutheasternUniversity",9,9,8,7,8
"NovaSoutheasternUniversity",8,3,5,7,5
"NovaSoutheasternUniversity",6,3,5,4,7
"NovaSoutheasternUniversity",6,4,4,7,6
"NovaSoutheasternUniversity",3,4,3,3,3
"NovaSoutheasternUniversity",4,6,7,7,5
"NovaSoutheasternUniversity",7,3,3,3,4
"NovaSoutheasternUniversity",7,1,7,8,8
"NovaSoutheasternUniversity",9,9,9,9,9
"NovaSoutheasternUniversity",8,7,7,7,7
"NovaSoutheasternUniversity",5,5,6,6,5
"NovaSoutheasternUniversity",9,8,9,9,8
"NovaSoutheasternUniversity",6,6,5,6,6
"NovaSoutheasternUniversity",9,8,9,9,8
"NovaSoutheasternUniversity",9,7,9,8,9
"NovaSoutheasternUniversity",9,5,6,5,9
"NovaSoutheasternUniversity",7,6,7,4,4
"NovaSoutheasternUniversity",6,6,7,7,7
"NovaSoutheasternUniversity",6,7,7,8,8
"NovaSoutheasternUniversity",6,6,7,7,5
"NovaSoutheasternUniversity",7,3,6,2,9
"NovaSoutheasternUniversity",7,5,6,2,6
"NovaSoutheasternUniversity",1,5,5,5,5
"NovaSoutheasternUniversity",8,6,7,5,7
"NovaSoutheasternUniversity",3,3,5,5,4
"NovaSoutheasternUniversity",7,5,4,4,5
"NovaSoutheasternUniversity",8,8,4,7,6
"NovaSoutheasternUniversity",8,6,5,8,6
"NovaSoutheasternUniversity",5,3,4,6,4
"NovaSoutheasternUniversity",5,5,6,4,5
"NovaSoutheasternUniversity",8,5,6,3,3
"NovaSoutheasternUniversity",4,3,3,3,4
"NovaSoutheasternUniversity",9,6,5,9,3
"NovaSoutheasternUniversity",9,9,9,9,7
"NovaSoutheasternUniversity",7,7,8,8,7
"NovaSoutheasternUniversity",9,7,8,9,6
"NovaSoutheasternUniversity",9,7,8,9,7
"NovaSoutheasternUniversity",7,7,8,9,6
"NovaSoutheasternUniversity",6,7,6,4,6
"NovaSoutheasternUniversity",8,8,9,8,8
"NovaSoutheasternUniversity",5,4,5,6,4
"NovaSoutheasternUniversity",7,7,7,7,8
"NovaSoutheasternUniversity",7,7,8,8,8
"NovaSoutheasternUniversity",8,6,6,4,5
"NovaSoutheasternUniversity",2,5,2,3,1
"NovaSoutheasternUniversity",9,9,9,9,9
"NovaSoutheasternUniversity",9,9,8,8,6
"NovaSoutheasternUniversity",6,6,6,5,5
"NovaSoutheasternUniversity",3,1,2,2,2
"NovaSoutheasternUniversity",7,6,7,7,6
"NovaSoutheasternUniversity",7,7,8,7,6
"NovaSoutheasternUniversity",8,9,9,7,8
"OSUNewark",6,7,6,6,5
"OSUNewark",3,5,4,6,4
"OSUNewark",3,1,3,3,3
"OSUNewark",7,5,7,6,6
"OSUNewark",9,3,5,7,6
"OSUNewark",5,5,5,5,5
"OSUNewark",4,1,3,1,3
"OSUNewark",6,5,6,6,6
"OSUNewark",5,6,4,5,6
"OSUNewark",5,5,4,5,6
"OSUNewark",5,7,7,9,3
"OSUNewark",8,7,7,8,5
"OSUNewark",7,5,4,2,3
"OSUNewark",6,6,8,5,7
"OSUNewark",8,6,7,8,7
"OSUNewark",5,5,4,4,5
"OSUNewark",8,9,9,8,7
"OSUNewark",5,4,5,5,5
"OSUNewark",5,4,3,8,5
"OSUNewark",8,3,2,5,4
"OSUNewark",9,9,9,8,9
"OSUNewark",9,5,3,6,5
"OSUNewark",4,5,3,6,5
"OSUNewark",3,3,4,5,6
"OSUNewark",6,5,6,6,6
"OSUNewark",7,6,9,5,6
"OSUNewark",5,7,6,6,6
"OSUNewark",9,3,4,7,4
"OSUNewark",3,9,8,4,6
"OSUNewark",9,5,5,5,5
"OSUNewark",9,5,7,4,8
"OSUNewark",5,7,8,5,6
"OSUNewark",9,7,9,9,9
"OSUNewark",8,5,7,6,8
"OSUNewark",3,4,4,4,5
"OSUNewark",3,1,2,1,3
"OSUNewark",6,6,7,7,6
"OSUNewark",6,5,7,5,5
"OSUNewark",7,6,7,6,6
"OSUNewark",3,6,4,6,4
"OSUNewark",7,7,8,6,5
"OSUNewark",7,4,6,4,7
"OSUNewark",7,7,6,7,6
"OSUNewark",2,2,2,4,4
"OSUNewark",5,3,3,2,3
"OSUNewark",7,9,7,9,9
"OSUNewark",6,7,7,5,6
"OSUNewark",5,7,2,7,5
"OSUNewark",4,2,1,2,3
"OSUNewark",5,6,4,6,6
"OSUNewark",4,9,6,4,1
"OSUNewark",9,7,9,6,8
"OSUNewark",6,7,6,8,5
"OSUNewark",2,1,1,1,1
"OSUNewark",5,5,4,4,5
"OSUNewark",7,4,6,6,7
"OSUNewark",3,5,5,4,4
"OSUNewark",7,7,9,7,9
"OSUNewark",6,4,4,5,4
"OSUNewark",5,3,7,6,5
"OSUNewark",7,9,7,7,6
"OSUNewark",1,1,1,9,5
"OSUNewark",7,6,6,7,7
"OSUNewark",5,7,5,5,4
"OSUNewark",5,4,6,4,4
"OSUNewark",6,5,7,7,6
"OSUNewark",5,1,4,5,5
"OSUNewark",6,3,4,2,5
"OSUNewark",5,4,5,5,5
"OSUNewark",7,9,9,8,9
"OSUNewark",5,5,5,5,5
"OSUNewark",2,8,8,7,6
"OSUNewark",6,6,8,8,7
"OSUNewark",5,6,6,5,4
"OSUNewark",9,8,8,7,9
"OSUNewark",9,7,8,7,7
"OSUNewark",6,6,7,5,5
"OSUNewark",8,5,6,6,7
"OSUNewark",6,7,7,5,8
"OSUNewark",5,4,4,6,6
"OSUNewark",6,5,6,4,4
"OSUNewark",9,7,7,8,7
"OSUNewark",7,1,1,6,6
"OSUNewark",6,4,7,6,4
"OSUNewark",4,3,5,4,4
"OSUNewark",7,6,7,6,6
"OSUNewark",6,6,7,7,7
"OSUNewark",7,6,6,4,4
"OSUNewark",7,4,6,5,6
"OSUNewark",6,8,8,8,8
"OSUNewark",5,9,6,5,4
"OSUNewark",7,7,7,7,7
"OSUNewark",7,5,7,4,8
"OSUNewark",6,4,5,5,4
"OSUNewark",6,5,4,7,4
"OSUNewark",8,7,3,9,9
"OSUNewark",7,7,8,6,7
"OSUNewark",5,5,3,5,5
"OSUNewark",2,4,1,2,3
"OSUNewark",6,3,4,3,3
"OSUNewark",7,7,7,7,6
"OSUNewark",7,6,7,7,7
"OSUNewark",7,6,6,8,7
"OSUNewark",7,6,7,4,5
"OSUNewark",6,4,5,7,5
"OSUNewark",5,6,4,7,7
"OSUNewark",3,6,5,4,6
"OSUNewark",9,2,2,4,4
"OSUNewark",5,4,3,7,6
"OSUNewark",5,8,7,5,3
"OSUNewark",4,6,6,6,7
"OSUNewark",6,4,5,5,6
"OSUNewark",5,1,5,6,5
"OSUNewark",6,5,5,6,6
"OSUNewark",4,6,1,1,3
"OSUNewark",5,5,7,4,5
"OSUNewark",6,5,5,5,5
"OSUNewark",4,3,6,5,7
"OSUNewark",4,6,1,6,4
"OSUNewark",7,5,6,3,4
"OSUNewark",6,7,8,5,6
"OSUNewark",5,6,9,6,7
"OSUNewark",7,5,8,9,6
"OSUNewark",7,6,7,7,6
"OSUNewark",8,6,4,4,5
"OSUNewark",6,4,5,5,6
"OSUNewark",6,5,5,4,4
"OSUNewark",6,4,6,7,6
"OSUNewark",7,5,6,4,4
"OSUNewark",5,6,6,9,6
"OSUNewark",6,5,5,6,5
"OSUNewark",5,6,4,5,5
"OSUNewark",4,4,3,5,4
"OSUNewark",6,4,4,6,5
"OSUNewark",3,4,1,3,2
"OSUNewark",5,4,7,6,6
"OSUNewark",7,5,4,5,4
"OSUNewark",3,2,2,4,1
"OSUNewark",5,5,5,5,6
"OSUNewark",7,7,6,6,6
"OSUNewark",9,9,7,7,9
"OSUNewark",5,9,3,5,4
"OSUNewark",7,5,8,7,6
"OSUNewark",6,4,6,4,4
"OSUNewark",6,3,7,4,6
"OSUNewark",9,7,5,8,6
"OSUNewark",8,5,4,4,4
"OSUNewark",9,9,6,4,6
"OSUNewark",7,7,7,8,8
"OSUNewark",3,2,3,2,3
"OSUNewark",7,3,7,7,7
"OSUNewark",6,7,8,9,9
"OSUNewark",6,3,4,7,6
"PacificLutheranUniversity",8,6,7,8,6
"PacificLutheranUniversity",6,5,4,5,4
"PacificLutheranUniversity",5,4,4,4,3
"PacificLutheranUniversity",7,7,6,6,6
"PacificLutheranUniversity",9,9,9,9,9
"PacificLutheranUniversity",6,5,7,8,6
"PacificLutheranUniversity",6,7,6,5,6
"PacificLutheranUniversity",8,6,6,4,6
"PacificLutheranUniversity",6,8,8,5,6
"PacificLutheranUniversity",7,6,8,6,7
"PacificLutheranUniversity",9,1,9,9,9
"PacificLutheranUniversity",7,5,6,6,5
"PacificLutheranUniversity",3,3,6,6,4
"PacificLutheranUniversity",5,4,4,3,5
"PacificLutheranUniversity",7,5,5,7,5
"PacificLutheranUniversity",7,6,6,8,7
"PacificLutheranUniversity",8,5,5,5,5
"PacificLutheranUniversity",7,4,5,4,4
"PacificLutheranUniversity",6,5,5,6,6
"PacificLutheranUniversity",4,1,3,4,4
"PacificLutheranUniversity",6,6,8,6,7
"PacificLutheranUniversity",8,7,7,8,7
"PacificLutheranUniversity",6,6,6,5,6
"PacificLutheranUniversity",4,1,2,3,3
"PacificLutheranUniversity",5,5,6,7,5
"PacificLutheranUniversity",5,5,6,6,6
"PacificLutheranUniversity",5,3,3,5,4
"PacificLutheranUniversity",8,5,8,8,5
"PacificLutheranUniversity",6,4,4,5,3
"PacificLutheranUniversity",4,1,4,5,6
"PacificLutheranUniversity",6,3,3,5,5
"PacificLutheranUniversity",3,4,2,1,3
"PacificLutheranUniversity",5,4,5,5,6
"PacificLutheranUniversity",6,7,7,6,7
"PacificLutheranUniversity",7,7,7,5,6
"PacificLutheranUniversity",6,5,5,7,6
"PacificLutheranUniversity",7,5,7,6,6
"PacificLutheranUniversity",6,5,7,4,6
"PacificLutheranUniversity",2,2,3,4,3
"PacificLutheranUniversity",7,7,7,8,8
"PacificLutheranUniversity",4,2,3,3,3
"PacificLutheranUniversity",8,6,3,7,5
"PacificLutheranUniversity",5,3,3,4,5
"PacificLutheranUniversity",7,4,5,2,3
"PacificLutheranUniversity",9,6,9,6,8
"PacificLutheranUniversity",6,5,7,7,4
"PacificLutheranUniversity",7,6,5,5,7
"PacificLutheranUniversity",8,7,8,8,7
"PacificLutheranUniversity",8,8,8,7,5
"PacificLutheranUniversity",7,6,7,5,6
"PacificLutheranUniversity",8,5,6,6,8
"PacificLutheranUniversity",7,7,7,7,7
"PacificLutheranUniversity",8,5,9,9,8
"PacificLutheranUniversity",7,8,7,8,8
"PacificLutheranUniversity",6,6,6,7,6
"PacificLutheranUniversity",6,5,7,6,6
"PacificLutheranUniversity",6,4,5,4,3
"PacificLutheranUniversity",6,7,7,8,7
"PacificLutheranUniversity",9,9,9,9,9
"PacificLutheranUniversity",7,2,4,5,5
"PacificLutheranUniversity",5,6,5,5,7
"PacificLutheranUniversity",9,7,7,8,7
"PacificLutheranUniversity",6,7,7,5,6
"PacificLutheranUniversity",8,6,6,7,6
"PacificLutheranUniversity",8,7,9,7,7
"PacificLutheranUniversity",4,5,6,4,5
"PacificLutheranUniversity",8,7,7,6,7
"PacificLutheranUniversity",8,5,6,9,7
"PacificLutheranUniversity",7,1,5,5,6
"PacificLutheranUniversity",9,7,8,8,9
"PacificLutheranUniversity",7,8,9,8,7
"PacificLutheranUniversity",5,4,5,6,7
"PacificLutheranUniversity",2,1,3,5,3
"PacificLutheranUniversity",8,4,6,7,7
"PacificLutheranUniversity",9,9,8,7,9
"PacificLutheranUniversity",7,6,5,6,6
"PacificLutheranUniversity",6,6,5,6,6
"PacificLutheranUniversity",6,5,6,7,7
"PacificLutheranUniversity",6,8,6,6,5
"PacificLutheranUniversity",6,3,4,3,4
"PacificLutheranUniversity",7,8,7,8,7
"PacificLutheranUniversity",5,4,7,5,5
"PacificLutheranUniversity",5,5,4,4,4
"PacificLutheranUniversity",9,9,9,9,9
"PacificLutheranUniversity",8,2,1,6,6
"PacificLutheranUniversity",7,3,4,7,6
"PacificLutheranUniversity",5,4,4,5,4
"PacificLutheranUniversity",7,8,5,5,4
"PacificLutheranUniversity",9,8,7,8,6
"PacificLutheranUniversity",9,9,9,8,1
"PacificLutheranUniversity",4,6,5,4,5
"PacificLutheranUniversity",4,4,4,5,4
"PacificLutheranUniversity",6,3,7,5,5
"PacificLutheranUniversity",9,6,4,6,5
"PacificLutheranUniversity",7,7,6,3,6
"PacificLutheranUniversity",5,5,5,5,5
"PacificLutheranUniversity",7,5,6,6,6
"PacificLutheranUniversity",6,3,7,3,5
"PacificLutheranUniversity",7,5,6,7,7
"PacificLutheranUniversity",7,9,6,8,6
"PacificLutheranUniversity",7,5,5,6,5
"PacificLutheranUniversity",7,2,2,2,2
"PacificLutheranUniversity",4,5,3,6,5
"PennStateAbington",7,5,3,7,5
"PennStateAbington",6,2,7,3,4
"PennStateAbington",8,7,7,6,7
"PennStateAbington",5,3,2,3,1
"PennStateAbington",5,5,3,3,4
"PennStateAbington",9,7,5,5,7
"PennStateAbington",6,5,7,6,4
"PennStateAbington",9,5,6,5,6
"PennStateAbington",5,5,7,6,5
"PennStateAbington",5,5,6,4,5
"PennStateAbington",5,5,5,6,7
"PennStateAbington",5,4,6,7,4
"PennStateAbington",9,9,9,9,8
"PennStateAbington",5,1,5,4,5
"PennStateAbington",1,1,5,5,5
"PennStateAbington",7,5,5,7,6
"PennStateAbington",4,4,5,5,6
"PennStateAbington",1,1,7,6,5
"PennStateAbington",7,6,6,7,7
"PennStateAbington",7,7,6,6,6
"PennStateAbington",5,6,6,5,6
"PennStateAbington",7,4,4,5,6
"PennStateAbington",7,8,6,7,7
"PennStateAbington",5,7,7,6,7
"PennStateAbington",7,8,8,8,7
"PennStateAbington",8,8,8,8,9
"PennStateAbington",5,5,4,5,4
"PennStateAbington",7,8,6,8,4
"PennStateAbington",9,9,6,9,7
"PennStateAbington",7,4,5,6,7
"PennStateAbington",5,4,6,3,5
"PennStateAbington",8,8,8,8,8
"PennStateAbington",8,6,8,7,7
"PennStateAbington",6,6,7,6,6
"PennStateAbington",6,5,3,6,5
"PennStateAbington",9,9,9,9,8
"PennStateAbington",5,3,7,2,6
"PennStateAbington",5,4,2,3,4
"PennStateAbington",6,5,7,5,4
"PennStateAbington",9,6,5,5,4
"PennStateAbington",6,7,6,5,7
"PennStateAbington",5,5,5,5,5
"PennStateAbington",6,4,4,5,5
"PennStateAbington",8,8,8,7,8
"PennStateAbington",8,5,8,7,6
"PennStateAbington",7,8,7,6,4
"PennStateAbington",5,6,5,4,5
"PennStateAbington",8,7,7,8,6
"PennStateAbington",8,6,8,6,6
"PennStateAbington",5,7,5,4,6
"PennStateAbington",4,3,6,4,6
"PennStateAbington",6,6,7,8,6
"PennStateAbington",6,4,4,7,6
"PennStateAbington",8,8,9,9,9
"PennStateAbington",4,4,6,5,6
"PennStateAbington",5,5,3,5,2
"PennStateAbington",7,9,6,6,6
"PennStateAbington",4,4,1,4,5
"PennStateAbington",5,5,7,3,5
"PennStateAbington",5,4,5,5,6
"PennStateAbington",1,1,1,7,6
"PennStateAbington",7,7,6,5,5
"PennStateAbington",2,4,6,6,6
"PennStateAbington",9,8,9,9,9
"PennStateAbington",7,6,6,7,6
"PennStateAbington",4,5,3,3,4
"PennStateAbington",5,3,2,6,6
"PennStateAbington",5,4,6,5,5
"PennStateAbington",9,8,6,7,8
"PennStateAbington",1,1,1,2,1
"PennStateAbington",8,5,3,6,5
"PennStateAbington",7,5,4,6,6
"PennStateAbington",7,7,8,6,6
"PennStateAbington",7,6,5,8,8
"PennStateAbington",7,8,6,8,7
"PennStateAbington",6,6,6,7,5
"PennStateAbington",9,8,8,7,5
"PennStateAbington",6,8,7,5,4
"PennStateAbington",5,3,4,4,5
"PennStateAbington",7,7,7,7,7
"PennStateAbington",7,5,5,5,5
"PennStateAbington",8,7,8,9,8
"PennStateAbington",9,6,6,5,5
"PennStateAbington",6,6,8,8,8
"PennStateAbington",4,4,3,4,4
"PennStateAbington",9,7,8,8,8
"PennStateAbington",6,6,6,4,6
"PennStateAbington",7,6,5,6,6
"PennStateAbington",7,5,6,7,5
"PennStateAbington",6,6,5,6,6
"PennStateAbington",6,5,7,6,6
"PennStateAbington",8,9,5,4,5
"PennStateAbington",6,3,6,5,6
"PennStateAbington",8,5,7,8,7
"PennStateAbington",9,2,8,8,8
"PennStateAbington",5,6,4,5,4
"PennStateAbington",8,7,7,7,6
"PennStateAbington",8,8,9,7,8
"PennStateAbington",9,8,9,7,5
"PennStateAbington",9,7,5,3,1
"PennStateAbington",3,1,3,2,1
"PennStateAbington",4,5,8,4,5
"PennStateAbington",3,1,2,2,2
"PennStateAbington",8,3,7,9,5
"PennStateAbington",6,4,4,6,5
"PennStateAbington",9,7,7,9,9
"PennStateAbington",5,5,4,5,5
"PennStateAbington",6,5,5,6,6
"PennStateAbington",5,2,3,3,3
"PennStateAbington",5,6,6,6,6
"PennStateAbington",4,5,4,6,5
"PennStateAbington",9,8,9,8,9
"PennStateAbington",3,1,2,3,3
"SanDiegoStateUniversity",9,9,9,9,9
"SanDiegoStateUniversity",7,6,7,7,6
"SanDiegoStateUniversity",7,7,8,6,7
"SanDiegoStateUniversity",8,6,6,7,6
"SanDiegoStateUniversity",5,4,6,5,5
"SanDiegoStateUniversity",8,8,9,9,9
"SanDiegoStateUniversity",7,6,3,5,4
"SanDiegoStateUniversity",4,6,4,3,3
"SanDiegoStateUniversity",7,6,7,6,6
"SanDiegoStateUniversity",8,5,7,6,5
"SanDiegoStateUniversity",4,9,5,4,4
"SanDiegoStateUniversity",7,5,8,9,6
"SanDiegoStateUniversity",9,9,5,9,9
"SanDiegoStateUniversity",5,4,3,4,5
"SanDiegoStateUniversity",4,3,5,5,3
"SanDiegoStateUniversity",5,4,6,5,4
"SanDiegoStateUniversity",6,5,6,5,6
"SanDiegoStateUniversity",7,7,7,8,9
"SanDiegoStateUniversity",5,5,3,2,3
"SanDiegoStateUniversity",7,7,6,7,8
"SanDiegoStateUniversity",6,5,6,6,6
"SanDiegoStateUniversity",5,3,4,6,3
"SanDiegoStateUniversity",5,5,6,6,7
"SanDiegoStateUniversity",8,6,6,6,7
"SanDiegoStateUniversity",7,3,6,7,6
"SanDiegoStateUniversity",9,6,8,8,7
"SanDiegoStateUniversity",5,4,5,7,5
"SanDiegoStateUniversity",5,4,6,7,7
"SanDiegoStateUniversity",5,5,5,5,5
"SanDiegoStateUniversity",4,4,4,3,3
"SanDiegoStateUniversity",5,3,3,4,5
"SanDiegoStateUniversity",5,7,6,4,5
"SanDiegoStateUniversity",9,7,7,7,7
"SanDiegoStateUniversity",8,5,5,5,4
"SanDiegoStateUniversity",5,7,6,5,6
"SanDiegoStateUniversity",4,1,3,4,1
"SanDiegoStateUniversity",7,6,5,7,7
"SanDiegoStateUniversity",2,1,1,3,2
"SanDiegoStateUniversity",5,7,7,8,6
"SanDiegoStateUniversity",7,5,2,4,3
"SanDiegoStateUniversity",6,5,4,4,4
"SanDiegoStateUniversity",5,5,5,5,5
"SanDiegoStateUniversity",7,5,8,6,4
"SanDiegoStateUniversity",7,4,3,4,5
"SanDiegoStateUniversity",4,4,4,4,5
"SanDiegoStateUniversity",7,6,5,5,6
"SanDiegoStateUniversity",8,6,5,7,6
"SanDiegoStateUniversity",7,6,5,5,6
"SanDiegoStateUniversity",9,9,7,4,5
"SanDiegoStateUniversity",6,1,5,7,7
"SanDiegoStateUniversity",8,7,7,7,6
"SanDiegoStateUniversity",4,4,6,7,5
"SanDiegoStateUniversity",5,5,6,5,5
"SanDiegoStateUniversity",6,1,3,3,3
"SanDiegoStateUniversity",7,7,8,8,7
"SanDiegoStateUniversity",1,1,1,2,1
"SanDiegoStateUniversity",4,4,5,4,5
"SanDiegoStateUniversity",6,3,2,3,3
"SanDiegoStateUniversity",7,7,6,7,7
"SanDiegoStateUniversity",7,6,8,8,8
"SanDiegoStateUniversity",5,3,4,5,5
"SanDiegoStateUniversity",4,1,1,7,3
"SanDiegoStateUniversity",7,7,7,6,5
"SanDiegoStateUniversity",9,5,6,4,6
"SanDiegoStateUniversity",9,7,8,9,9
"SanDiegoStateUniversity",8,8,8,8,8
"SanDiegoStateUniversity",6,4,3,3,5
"SanDiegoStateUniversity",7,7,7,7,7
"SanDiegoStateUniversity",9,7,9,8,7
"SanDiegoStateUniversity",7,7,6,5,6
"SanDiegoStateUniversity",3,3,1,7,5
"SanDiegoStateUniversity",7,7,8,7,7
"SanDiegoStateUniversity",7,6,7,7,6
"SanDiegoStateUniversity",8,7,8,7,7
"SanDiegoStateUniversity",9,7,7,8,7
"SanDiegoStateUniversity",5,5,5,5,6
"SanDiegoStateUniversity",7,6,5,5,4
"SanDiegoStateUniversity",7,7,7,5,6
"SanDiegoStateUniversity",5,7,9,6,7
"SanDiegoStateUniversity",4,5,4,5,5
"SanDiegoStateUniversity",4,4,4,5,5
"SanDiegoStateUniversity",4,4,4,7,4
"SanDiegoStateUniversity",6,4,5,5,5
"SanDiegoStateUniversity",9,5,7,5,6
"SanDiegoStateUniversity",5,7,4,4,6
"SanDiegoStateUniversity",7,5,7,8,8
"SanDiegoStateUniversity",5,3,7,8,7
"SanDiegoStateUniversity",8,5,8,6,9
"SanDiegoStateUniversity",9,6,2,6,7
"SanDiegoStateUniversity",6,4,6,5,3
"SanDiegoStateUniversity",7,6,7,7,8
"SanDiegoStateUniversity",6,6,6,7,7
"SanDiegoStateUniversity",4,4,3,4,4
"SanDiegoStateUniversity",8,9,9,8,8
"SanDiegoStateUniversity",7,6,7,7,5
"SanDiegoStateUniversity",7,4,4,5,5
"SanDiegoStateUniversity",4,7,5,5,5
"SanDiegoStateUniversity",6,5,7,7,6
"SanDiegoStateUniversity",1,5,8,6,7
"SanDiegoStateUniversity",5,5,6,4,5
"SanDiegoStateUniversity",9,7,7,7,8
"SanDiegoStateUniversity",3,3,2,5,4
"SanDiegoStateUniversity",9,7,9,9,9
"SanDiegoStateUniversity",5,6,7,7,6
"SanDiegoStateUniversity",7,5,8,6,5
"SanDiegoStateUniversity",4,3,4,3,4
"SanDiegoStateUniversity",7,7,8,7,8
"SanDiegoStateUniversity",6,4,5,5,5
"SanDiegoStateUniversity",8,8,7,7,8
"SanDiegoStateUniversity",6,6,6,7,6
"SanDiegoStateUniversity",5,4,6,6,5
"SanDiegoStateUniversity",3,3,1,4,3
"SanDiegoStateUniversity",8,3,6,7,6
"SanDiegoStateUniversity",6,6,7,7,7
"SanDiegoStateUniversity",7,9,7,4,5
"SanDiegoStateUniversity",6,6,4,7,4
"SanDiegoStateUniversity",7,8,9,9,9
"SanDiegoStateUniversity",4,3,3,6,3
"SanDiegoStateUniversity",4,1,1,3,3
"SanDiegoStateUniversity",4,4,3,5,5
"SanDiegoStateUniversity",9,9,7,6,6
"SanDiegoStateUniversity",5,7,7,7,7
"SanDiegoStateUniversity",4,5,4,4,5
"SanDiegoStateUniversity",5,4,4,4,5
"SanDiegoStateUniversity",8,7,6,7,7
"SanDiegoStateUniversity",8,4,6,5,6
"SanDiegoStateUniversity",7,7,6,7,6
"SanDiegoStateUniversity",6,7,6,8,7
"SanDiegoStateUniversity",8,7,8,7,7
"SanDiegoStateUniversity",3,2,2,2,2
"SanDiegoStateUniversity",5,5,5,5,5
"SanDiegoStateUniversity",8,7,4,7,6
"SanDiegoStateUniversity",5,7,6,6,7
"SanDiegoStateUniversity",8,7,8,8,8
"SanDiegoStateUniversity",3,3,4,2,5
"SanDiegoStateUniversity",4,4,4,4,5
"SanDiegoStateUniversity",7,5,6,6,7
