"g","geis.dv_1","geis.dv_2","geis.dv_3","geis.dv_4","geis.dv_5"
"moralsense",4,3,3,3,3
"moralsense",5,5,6,5,5
"moralsense",4,4,5,7,5
"moralsense",4,4,4,4,4
"moralsense",4,4,4,4,4
"moralsense",3,6,6,6,6
"moralsense",5,5,6,6,5
"moralsense",3,5,6,6,5
"moralsense",1,4,4,7,7
"moralsense",6,6,6,6,6
"moralsense",4,4,5,4,4
"moralsense",4,4,4,4,4
"moralsense",1,1,1,7,7
"moralsense",3,3,2,1,2
"moralsense",6,4,6,5,6
"moralsense",7,7,7,7,7
"moralsense",5,6,6,4,5
"moralsense",4,4,7,5,5
"moralsense",6,4,4,4,3
"moralsense",4,5,5,4,6
"moralsense",4,4,4,2,3
"moralsense",2,3,5,7,7
"moralsense",4,4,4,3,3
"moralsense",6,5,5,5,6
"moralsense",3,6,6,4,5
"moralsense",7,7,7,7,7
"moralsense",4,4,5,5,4
"moralsense",7,5,7,6,7
"moralsense",4,4,4,4,4
"moralsense",4,5,5,6,6
"moralsense",4,5,5,3,4
"moralsense",4,6,5,7,7
"moralsense",4,5,6,7,6
"moralsense",4,4,6,5,6
"moralsense",4,6,6,6,6
"moralsense",5,5,6,6,6
"moralsense",2,3,5,5,6
"moralsense",5,5,5,5,4
"moralsense",4,4,4,4,4
"moralsense",6,4,5,5,6
"moralsense",4,4,4,4,4
"moralsense",1,1,1,1,1
"moralsense",4,6,5,3,2
"moralsense",4,4,4,6,7
"moralsense",1,3,3,3,3
"moralsense",4,5,5,5,6
"moralsense",4,4,4,4,4
"moralsense",4,4,4,4,4
"moralsense",4,4,4,4,4
"moralsense",6,6,6,5,6
"moralsense",4,6,4,5,5
"moralsense",4,4,4,4,4
"moralsense",3,3,4,4,5
"moralsense",1,1,1,1,1
"moralsense",4,5,6,5,5
"moralsense",1,1,1,1,1
"moralsense",4,4,4,4,4
"moralsense",3,3,3,5,5
"moralsense",4,5,5,4,4
"moralsense",4,4,4,4,4
"moralsense",7,7,7,7,7
"moralsense",4,4,4,4,4
"moralsense",4,5,4,6,4
"moralsense",4,4,4,4,4
"moralsense",4,4,4,4,4
"moralsense",4,3,6,5,5
"moralsense",4,4,5,3,3
"moralsense",3,4,5,4,4
"moralsense",4,6,6,5,4
"moralsense",4,6,6,6,5
"moralsense",1,1,1,7,7
"moralsense",1,1,3,3,3
"moralsense",3,3,3,1,1
"moralsense",4,4,4,5,2
"moralsense",4,4,4,3,4
"moralsense",7,6,6,7,7
"moralsense",4,4,3,4,5
"moralsense",4,2,6,4,2
"moralsense",4,5,6,5,6
"moralsense",4,4,4,4,5
"moralsense",2,6,6,6,6
"moralsense",3,4,3,4,4
"moralsense",3,4,4,4,5
"moralsense",6,5,7,5,7
"moralsense",4,5,6,4,4
"moralsense",6,6,7,6,6
"moralsense",6,6,7,6,7
"moralsense",5,3,3,1,1
"moralsense",4,5,6,6,5
"moralsense",4,3,3,3,4
"moralsense",5,6,6,5,5
"moralsense",2,3,6,1,7
"moralsense",4,5,5,6,6
"moralsense",5,3,6,6,6
"moralsense",4,4,4,4,4
"moralsense",4,4,4,4,4
"moralsense",6,1,6,1,6
"moralsense",5,4,4,4,4
"moralsense",4,4,4,4,4
"moralsense",5,5,5,5,4
"moralsense",6,7,7,6,6
"moralsense",4,4,5,4,4
"moralsense",6,5,4,6,5
"moralsense",5,4,5,5,7
"moralsense",4,4,5,7,6
"moralsense",3,3,4,3,4
"moralsense",4,4,5,5,5
"moralsense",6,4,5,4,7
"moralsense",4,4,4,2,2
"moralsense",6,5,5,5,5
"moralsense",4,5,4,4,5
"moralsense",3,4,4,1,1
"moralsense",4,5,3,4,6
"moralsense",5,4,4,4,5
"moralsense",4,6,5,3,4
"moralsense",6,6,6,6,6
"moralsense",6,7,6,7,5
"moralsense",3,4,3,3,6
"moralsense",6,5,4,6,6
"moralsense",6,4,7,6,6
"moralsense",4,5,5,4,3
"moralsense",5,4,2,3,5
"moralsense",5,5,6,4,4
"moralsense",5,6,4,6,6
"moralsense",1,1,1,1,1
"moralsense",5,5,5,6,6
"moralsense",4,4,4,4,4
"moralsense",4,4,4,4,4
"moralsense",6,5,4,6,6
"moralsense",4,4,4,4,4
"moralsense",4,4,4,4,4
"moralsense",6,6,7,5,6
"moralsense",6,7,5,4,4
"moralsense",3,5,6,4,5
"moralsense",7,4,4,7,7
"moralsense",4,6,5,6,5
"moralsense",1,1,1,1,1
"moralsense",3,3,5,2,5
"moralsense",4,3,3,4,4
"moralsense",3,4,4,4,5
"moralsense",4,4,4,3,5
"moralsense",2,6,6,4,5
"moralsense",3,3,3,4,5
"moralsense",4,4,6,6,6
"moralsense",5,4,5,4,6
"moralsense",5,3,6,4,4
"moralsense",4,6,6,5,7
"moralsense",4,4,3,4,5
"moralsense",4,4,4,4,3
"moralsense",4,5,7,6,6
"moralsense",6,4,5,6,7
"moralsense",4,4,4,4,4
"moralsense",4,5,6,6,7
"moralsense",4,6,6,6,6
"moralsense",4,4,4,6,5
"moralsense",5,3,4,6,5
"moralsense",3,4,4,4,4
"moralsense",4,3,6,2,2
"moralsense",7,4,5,7,7
"moralsense",7,7,7,7,5
"moralsense",2,4,3,3,3
"moralsense",1,4,7,6,5
"moralsense",1,3,2,4,2
"moralsense",6,4,2,6,6
"moralsense",2,2,3,2,2
"moralsense",4,4,3,4,6
"moralsense",4,4,4,4,4
"moralsense",3,6,6,4,6
"moralsense",3,4,6,7,7
"moralsense",5,3,5,5,5
"moralsense",1,1,1,1,1
"moralsense",3,4,5,4,3
"moralsense",5,6,7,5,6
"moralsense",4,4,4,4,4
"moralsense",4,4,4,4,4
"moralsense",4,4,4,4,6
"moralsense",3,5,6,4,4
"moralsense",4,6,6,6,5
"moralsense",4,5,5,5,6
"moralsense",4,4,5,4,4
"moralsense",1,5,5,6,6
"moralsense",4,4,4,4,4
"moralsense",4,3,3,5,3
"moralsense",6,6,6,6,6
"moralsense",1,1,1,1,1
"moralsense",5,5,5,4,3
"moralsense",4,4,4,4,4
"moralsense",3,4,4,4,4
"moralsense",3,5,5,5,6
"moralsense",6,7,6,6,7
"moralsense",4,5,6,7,7
"moralsense",5,6,6,6,6
"moralsense",3,3,3,3,4
"moralsense",4,4,5,5,5
"moralsense",4,6,5,6,5
"moralsense",5,4,4,6,6
"moralsense",5,4,6,4,4
"moralsense",7,6,6,5,5
"moralsense",1,4,5,4,4
"moralsense",3,3,5,2,2
"moralsense",4,4,4,4,4
"moralsense",4,4,4,4,4
"moralsense",3,6,7,5,6
"moralsense",4,4,4,6,5
"moralsense",4,4,4,4,6
"moralsense",1,1,1,1,1
"moralsense",4,5,5,4,6
"moralsense",5,4,5,4,5
"moralsense",7,5,4,7,7
"moralsense",6,2,2,4,6
"moralsense",2,4,5,6,6
"moralsense",7,6,5,4,3
"moralsense",5,7,7,5,5
"moralsense",6,6,5,6,7
"moralsense",4,4,4,4,4
"moralsense",4,5,5,4,4
"moralsense",4,4,4,4,4
"moralsense",4,4,5,6,5
"moralsense",3,5,6,5,6
"moralsense",4,4,5,5,7
"moralsense",6,6,6,6,6
"moralsense",3,3,3,4,4
"moralsense",4,4,4,4,4
"moralsense",4,4,4,4,4
"moralsense",4,4,5,4,2
"moralsense",7,7,7,7,7
"moralsense",4,4,4,4,4
"moralsense",4,4,4,4,4
"moralsense",6,4,5,7,7
"moralsense",3,3,3,1,1
"moralsense",4,7,2,1,3
"moralsense",4,4,4,4,4
"moralsense",7,7,7,7,7
"moralsense",3,4,5,6,6
"moralsense",4,4,4,4,4
"moralsense",4,4,5,5,5
"moralsense",3,3,4,6,5
"moralsense",6,5,2,6,6
"moralsense",3,3,4,1,3
"moralsense",4,6,6,7,7
"moralsense",4,6,6,7,7
"moralsense",6,7,7,6,6
"moralsense",6,6,5,5,6
"moralsense",3,5,5,5,6
"moralsense",5,6,6,6,6
"moralsense",4,4,4,5,5
"moralsense",5,6,3,5,4
"moralsense",4,4,4,4,4
"moralsense",4,5,5,4,6
"moralsense",3,4,4,5,5
"moralsense",3,5,6,5,5
"moralsense",4,4,4,4,4
"moralsense",4,4,4,4,4
"moralsense",7,7,7,7,7
"moralsense",4,4,6,5,5
"moralsense",4,6,7,6,7
"moralsense",5,5,4,4,4
"moralsense",6,6,5,6,7
"moralsense",4,4,4,4,4
"moralsense",6,2,3,6,3
"moralsense",4,5,5,4,4
"moralsense",4,4,4,4,4
"moralsense",3,4,5,3,5
"moralsense",5,3,7,4,4
"moralsense",5,3,5,2,2
"moralsense",2,4,5,4,3
"moralsense",4,4,4,4,4
"moralsense",5,7,6,7,7
"moralsense",5,6,6,7,4
"moralsense",4,4,5,6,5
"moralsense",5,6,6,6,6
"moralsense",5,3,4,5,5
"moralsense",4,5,6,4,4
"moralsense",5,6,6,5,5
"moralsense",4,5,5,5,4
"moralsense",4,4,4,4,4
"moralsense",1,6,5,7,6
"moralsense",5,5,5,6,6
"moralsense",6,6,6,5,6
"moralsense",4,4,6,2,2
"moralsense",4,4,4,4,4
"moralsense",4,3,5,3,3
"moralsense",2,3,3,3,3
"moralsense",2,5,5,6,6
"moralsense",5,5,5,6,6
"moralsense",6,6,6,4,6
"moralsense",5,5,6,5,4
"moralsense",4,5,5,5,6
"moralsense",5,4,7,6,5
"moralsense",5,6,5,4,6
"moralsense",4,5,5,5,4
"moralsense",4,4,4,4,4
"moralsense",4,5,5,6,5
"moralsense",4,5,5,6,7
"moralsense",5,4,5,2,3
"moralsense",4,5,6,6,4
"moralsense",4,5,5,4,3
"moralsense",4,3,5,5,4
"moralsense",5,4,4,5,6
"moralsense",4,6,6,4,7
"westernkentucky",6,5,5,3,6
"westernkentucky",3,5,4,5,3
"westernkentucky",4,5,5,4,5
"mcdanielonline",7,5,6,7,7
"westernkentucky",4,6,6,6,6
"westernkentucky",4,5,5,5,6
"westernkentucky",5,6,5,5,5
"westernkentucky",5,5,6,5,5
"westernkentucky",4,4,5,4,3
"mcdanielonline",6,5,7,7,7
"westernkentucky",4,5,5,6,6
"westernkentucky",5,5,4,5,5
"westernkentucky",7,7,7,7,7
"westernkentucky",5,5,6,6,6
"simmons",4,4,4,4,4
"simmons",4,5,5,6,7
"mcdanielonline",7,4,4,4,5
"mcdanielonline",5,6,5,7,6
"mcdanielonline",4,4,4,4,4
"mcdanielonline",4,5,5,3,4
"kenyon",4,5,4,3,4
"westernkentucky",4,5,4,2,5
"westernkentucky",6,5,7,6,4
"mcdanielonline",2,2,4,4,6
"mcdanielonline",4,4,4,4,4
"mcdanielonline",3,4,7,5,5
"mcdanielonline",5,6,6,6,7
"mcdanielonline",4,4,4,4,4
"mcdanielonline",2,2,2,6,6
"mcdanielonline",3,6,6,6,5
"mcdanielonline",6,6,6,6,6
"mcdanielonline",6,6,7,5,6
"mcdanielonline",4,4,4,4,4
"mcdanielonline",4,4,5,5,5
"mcdanielonline",3,3,3,3,3
"mcdanielonline",5,4,5,5,5
"mcdanielonline",5,5,5,5,5
"umich",5,5,5,5,5
"umich",4,6,5,2,2
"mcdanielonline",3,3,4,2,2
"kenyon",5,3,4,4,5
"kenyon",6,5,5,7,6
"kenyon",5,6,6,6,5
"kenyon",5,6,7,5,6
"umich",4,4,5,6,6
"umich",5,5,6,4,4
"umich",5,5,4,6,7
"umich",2,2,2,2,2
"mcdanielonline",5,5,6,6,7
"kenyon",3,4,3,5,4
"kenyon",7,6,6,6,7
"kenyon",4,3,5,4,6
"kenyon",3,3,4,3,3
"umich",6,6,6,6,6
"umich",7,5,5,7,7
"umich",3,4,4,5,5
"mcdanielonline",7,6,6,7,7
"kenyon",4,3,5,5,4
"kenyon",5,3,5,5,7
"kenyon",4,4,4,4,5
"kenyon",5,6,6,4,4
"kenyon",4,4,5,5,5
"loyola",4,4,6,4,5
"kenyon",4,5,5,6,6
"kenyon",6,7,6,7,7
"loyola",5,4,5,5,5
"loyola",6,5,6,6,6
"loyola",6,6,6,6,6
"umich",7,5,5,7,7
"umich",4,4,6,6,2
"mcdanielonline",4,5,6,5,7
"loyola",6,5,7,7,7
"mcdanielonline",4,5,5,5,5
"loyola",7,7,7,7,7
"loyola",7,6,6,7,7
"westernkentucky",1,1,1,1,1
"psualtoona",4,6,5,5,6
"psualtoona",7,7,4,4,4
"psualtoona",6,6,6,6,6
"westernkentucky",3,4,4,6,7
"psualtoona",4,4,3,3,4
"psualtoona",4,4,4,5,5
"psualtoona",7,7,7,7,7
"psualtoona",5,5,6,5,6
"psualtoona",4,4,4,4,4
"psualtoona",4,4,4,4,5
"kenyon",6,6,5,5,5
"kenyon",6,4,4,6,6
"kenyon",5,4,4,5,5
"westernkentucky",4,5,6,3,3
"psualtoona",5,6,6,7,7
"psualtoona",5,6,4,5,7
"csunorthonline",5,4,5,4,5
"csunorthonline",4,4,4,4,4
"csunorthonline",5,6,4,4,6
"psualtoona",5,1,5,5,5
"csunorthonline",3,7,6,2,3
"csunorthonline",7,7,7,7,7
"psualtoona",6,6,7,7,7
"csunorthonline",4,4,4,4,6
"psualtoona",3,5,4,4,5
"psualtoona",4,4,7,7,7
"csunorthonline",5,3,4,6,6
"csunorthonline",5,7,7,6,6
"csunorthonline",4,4,5,4,5
"psualtoona",5,6,7,7,4
"csunorthonline",5,6,6,5,6
"csunorthonline",4,4,4,4,4
"kenyon",6,5,4,5,5
"westernkentucky",5,3,3,4,5
"csunorthonline",3,7,5,4,7
"westernkentucky",4,4,4,5,5
"csunorthonline",7,6,6,6,5
"csunorthonline",4,4,4,4,4
"westernkentucky",2,3,4,4,5
"psualtoona",4,4,4,4,4
"psualtoona",4,4,6,6,5
"csunorthonline",5,6,7,5,7
"psualtoona",4,4,4,5,5
"kenyon",3,4,5,4,4
"kenyon",4,4,4,4,4
"psualtoona",4,5,3,5,4
"psualtoona",5,3,5,6,6
"westernkentucky",4,5,5,6,5
"csunorthonline",4,5,4,4,5
"westernkentucky",5,4,5,5,5
"csunorthonline",4,5,3,5,6
"csunorthonline",4,4,5,4,4
"csunorthonline",4,4,6,6,6
"westernkentucky",5,5,6,6,6
"mcdanielonline",4,4,4,4,4
"csunorthonline",7,5,5,5,5
"csunorthonline",4,4,5,6,6
"csunorthonline",5,5,5,6,6
"csunorthonline",4,6,6,6,3
"csunorthonline",4,5,6,6,6
"csunorthonline",5,6,5,5,5
"mcdanielonline",4,4,4,4,4
"loyola",2,3,2,1,2
"csunorthonline",2,3,5,4,6
"csunorthonline",7,7,7,7,7
"loyola",4,4,4,4,4
"loyola",7,5,6,6,7
"csunorthonline",5,4,6,3,6
"loyola",5,5,5,5,5
"mcdanielonline",5,5,5,7,7
"csunorthonline",6,6,6,6,6
"mcdanielonline",7,7,7,7,7
"mcdanielonline",5,4,6,6,5
"csunorthonline",5,6,5,6,6
"csunorthonline",4,5,5,5,5
"csunorthonline",7,7,7,7,7
"csunorthonline",4,3,4,5,6
"csunorthonline",7,7,7,7,7
"westernkentucky",5,3,4,5,5
"westernkentucky",3,6,6,6,6
"westernkentucky",6,6,6,6,6
"vcu",5,6,6,5,4
"westernkentucky",5,4,6,6,6
"westernkentucky",5,6,6,6,7
"vcu",4,4,4,5,4
"loyola",6,6,6,6,6
"loyola",5,5,6,6,6
"loyola",4,4,4,4,5
"loyola",5,6,6,6,5
"csunorthonline",2,4,5,3,6
"loyola",5,4,4,5,4
"loyola",7,7,7,7,7
"loyola",4,5,1,2,4
"loyola",5,4,6,6,7
"csunorthonline",6,7,6,7,7
"loyola",6,6,6,6,6
"loyola",4,6,3,2,3
"loyola",4,5,5,5,4
"loyola",6,6,7,6,6
"csunorthonline",6,4,5,5,6
"csunorthonline",3,3,3,2,3
"csunorthonline",5,7,6,6,7
"csunorthonline",5,6,6,5,6
"csunorthonline",6,7,6,6,7
"csunorthonline",7,7,7,6,7
"csunorthonline",7,6,5,7,7
"umich",7,6,6,6,7
"loyola",5,5,4,5,6
"vcu",4,4,4,5,4
"csunorthonline",6,5,2,5,6
"csunorthonline",4,4,4,4,4
"csunorthonline",4,4,4,4,4
"psualtoona",7,5,5,7,6
"loyola",4,6,6,5,6
"psualtoona",2,2,3,4,5
"westernkentucky",3,4,4,4,3
"psualtoona",3,4,5,4,5
"psualtoona",4,4,5,5,5
"westernkentucky",6,6,6,6,6
"psualtoona",5,6,5,5,5
"westernkentucky",5,6,6,6,6
"westernkentucky",4,5,5,6,6
"westernkentucky",2,6,6,3,7
"psualtoona",2,3,1,2,2
"psualtoona",4,5,7,5,4
"psualtoona",7,7,6,7,7
"psualtoona",1,2,3,1,2
"psualtoona",5,7,7,5,5
"psualtoona",7,3,4,6,2
"psualtoona",4,5,5,4,5
"psualtoona",4,5,5,4,5
"psualtoona",2,2,2,2,2
"psualtoona",6,4,6,7,7
"psualtoona",5,7,7,7,6
"psualtoona",7,5,5,7,7
"westernkentucky",4,5,4,5,4
"loyola",5,5,6,6,5
"loyola",4,5,5,5,6
"loyola",4,5,6,5,4
"mcdanielonline",1,4,4,7,5
"vcu",5,4,4,4,4
"mcdanielonline",4,4,4,6,4
"mcdanielonline",4,4,4,4,4
"psualtoona",5,4,5,6,5
"psualtoona",4,4,4,7,7
"mcdanielonline",5,4,5,5,5
"psualtoona",4,6,6,5,4
"psualtoona",3,4,2,4,4
"psualtoona",6,7,5,7,7
"psualtoona",4,5,5,6,7
"psualtoona",3,5,4,3,3
"westernkentucky",5,4,4,5,5
"westernkentucky",6,6,4,6,5
"westernkentucky",4,4,4,4,4
"psualtoona",7,7,7,7,7
"psualtoona",4,6,7,6,6
"psualtoona",3,4,5,2,4
"westernkentucky",6,6,6,6,6
"westernkentucky",5,5,4,5,5
"westernkentucky",5,3,4,3,2
"westernkentucky",4,4,4,4,4
"loyola",1,1,3,3,2
"loyola",1,6,6,3,4
"loyola",3,5,4,4,5
"mcdanielonline",5,6,6,6,6
"kenyon",4,4,4,4,4
"kenyon",5,5,4,5,6
"kenyon",4,4,5,5,5
"kenyon",4,5,5,4,4
"westernkentucky",6,2,7,5,7
"westernkentucky",1,2,2,1,2
"kenyon",4,4,5,4,4
"kenyon",3,4,4,5,5
"kenyon",6,5,5,6,6
"loyola",5,5,5,5,6
"loyola",2,3,3,3,3
"loyola",5,5,7,5,6
"loyola",4,5,5,4,6
"umich",5,5,5,4,4
"umich",4,4,4,4,4
"umich",6,6,6,6,6
"umich",4,5,6,6,6
"umich",2,2,4,4,4
"umich",4,4,4,6,6
"umich",6,4,4,6,7
"umich",4,5,5,6,4
"umich",4,4,4,4,4
"umich",2,4,4,4,5
"loyola",6,6,7,7,6
"loyola",6,6,6,7,6
"loyola",6,6,6,6,6
"psualtoona",4,6,4,4,4
"psualtoona",6,5,5,5,6
"psualtoona",4,4,4,4,4
"psualtoona",4,4,5,5,4
"psualtoona",4,4,4,4,4
"psualtoona",7,7,7,7,7
"psualtoona",5,6,4,6,6
"psualtoona",4,5,5,6,6
"westernkentucky",5,7,6,6,5
"westernkentucky",5,4,6,4,4
"psualtoona",4,4,4,4,4
"simmons",5,4,5,6,6
"psualtoona",5,5,5,4,4
"psualtoona",3,4,4,4,3
"psualtoona",4,3,3,3,3
"psualtoona",4,6,6,6,6
"psualtoona",3,5,4,7,5
"psualtoona",5,4,6,5,5
"psualtoona",4,4,6,7,7
"psualtoona",5,5,4,6,7
"psualtoona",5,4,4,6,6
"mcdanielonline",7,6,6,6,6
"mcdanielonline",4,4,4,4,4
"kenyon",4,5,5,5,5
"kenyon",6,4,5,5,4
"kenyon",4,4,3,5,5
"vcu",6,6,5,7,7
"simmons",2,6,6,3,5
"vcu",4,6,6,6,6
"loyola",4,5,7,5,5
"loyola",5,5,5,5,5
"mcdanielonline",7,3,6,7,4
"simmons",3,4,4,6,6
"simmons",6,2,1,7,7
"loyola",7,6,6,7,7
"loyola",5,5,5,6,6
"vcu",6,6,6,6,6
"mcdanielonline",3,4,4,3,4
"kenyon",5,3,4,4,5
"kenyon",5,5,3,6,7
"westernkentucky",4,5,5,6,6
"westernkentucky",5,6,3,6,6
"westernkentucky",4,3,4,4,3
"mcdanielonline",4,4,4,5,5
"mcdanielonline",4,6,6,5,6
"mcdanielonline",6,5,5,2,7
"mcdanielonline",3,7,6,5,5
"tamu",5,2,5,7,6
"tamu",6,4,4,6,7
"mcdanielonline",6,4,4,6,5
"tamu",2,2,6,6,6
"loyola",4,5,5,6,5
"tamu",3,4,4,4,3
"loyola",6,7,7,7,5
"loyola",4,4,4,4,4
"loyola",6,7,6,7,7
"loyola",6,6,5,5,5
"vcu",5,5,5,5,5
"vcu",7,6,6,7,5
"loyola",4,5,5,5,4
"kenyon",5,5,6,3,4
"tamu",6,6,6,6,6
"kenyon",5,3,3,5,3
"tamu",3,5,6,6,5
"tamu",5,5,5,5,5
"tamu",4,4,4,6,6
"tamu",6,6,6,6,6
"tamu",7,7,7,7,7
"tamu",6,5,5,6,6
"tamu",6,4,4,7,7
"vcu",1,1,1,3,1
"tamu",7,6,7,7,7
"tamu",5,5,6,4,4
"loyola",5,6,6,4,4
"tamu",3,4,3,4,4
"loyola",4,4,4,4,4
"tamu",5,5,5,5,5
"kenyon",3,5,4,5,6
"kenyon",6,6,7,6,5
"tamu",5,6,6,6,6
"kenyon",4,5,4,5,5
"kenyon",6,6,4,5,6
"tamu",6,5,5,4,4
"kenyon",6,6,6,6,7
"tamu",3,5,6,4,4
"tamu",5,4,4,4,4
"tamu",4,4,4,4,5
"tamu",4,4,4,5,5
"loyola",6,6,7,7,6
"loyola",3,2,6,4,3
"tamu",4,4,4,5,5
"tamu",5,5,4,4,5
"tamu",4,4,4,4,4
"vcu",5,5,5,5,5
"tamu",4,5,5,4,4
"psualtoona",4,4,5,5,5
"tamu",6,6,6,6,6
"tamu",5,5,7,5,7
"psualtoona",7,7,4,6,6
"psualtoona",5,5,6,6,6
"psualtoona",6,5,3,7,6
"psualtoona",1,1,1,1,1
"armstrong",4,4,4,5,5
"armstrong",7,7,7,6,7
"tamu",4,4,4,7,7
"tamu",7,5,5,6,6
"psualtoona",6,6,6,6,6
"psualtoona",4,3,4,3,5
"psualtoona",5,6,5,4,5
"tamu",4,7,6,7,7
"tamu",7,5,5,7,7
"tamu",5,6,6,6,6
"armstrong",5,5,6,6,6
"tamu",5,4,4,5,5
"loyola",6,6,6,6,6
"loyola",5,5,6,5,5
"tamu",4,3,5,4,4
"tamu",6,6,6,6,6
"tamu",6,5,6,6,7
"tamu",4,5,5,5,5
"tamu",7,6,7,6,6
"tamu",4,4,4,4,4
"tamu",5,6,6,6,5
"loyola",7,7,7,7,5
"tamu",5,1,1,2,7
"tamu",6,6,6,6,6
"mcdanielonline",4,4,4,4,4
"psualtoona",3,3,4,4,3
"psualtoona",5,6,6,6,7
"psualtoona",5,5,5,5,5
"psualtoona",4,4,4,6,6
"westernkentucky",4,3,4,4,2
"psualtoona",4,6,4,5,6
"loyola",7,4,5,6,6
"westernkentucky",4,6,6,6,6
"psualtoona",4,4,6,5,4
"psualtoona",4,5,5,5,6
"psualtoona",5,6,6,6,6
"psualtoona",5,5,5,5,6
"psualtoona",5,5,5,5,5
"westernkentucky",4,6,6,6,4
"westernkentucky",6,5,3,5,6
"westernkentucky",3,4,3,4,5
"westernkentucky",7,1,1,7,7
"psualtoona",3,4,4,5,5
"psualtoona",6,6,6,6,6
"simmons",4,5,6,6,6
"psualtoona",7,1,1,2,2
"psualtoona",5,5,6,6,6
"psualtoona",4,3,5,5,5
"psualtoona",6,6,6,6,4
"psualtoona",7,7,7,7,5
"psualtoona",4,4,4,4,4
"psualtoona",5,3,5,3,6
"simmons",6,4,4,6,4
"armstrong",4,4,4,4,4
"armstrong",5,7,7,7,7
"armstrong",4,4,1,6,1
"kenyon",7,7,7,7,7
"kenyon",2,3,3,3,4
"westernkentucky",6,7,7,6,7
"westernkentucky",3,4,3,6,3
"vcu",6,4,5,4,4
"loyola",4,4,4,4,4
"loyola",4,6,6,6,6
"loyola",5,5,5,5,5
"loyola",5,3,5,3,3
"loyola",4,5,5,4,4
"armstrong",4,4,4,4,4
"mcdanielonline",4,5,5,4,4
"armstrong",5,5,7,6,6
"armstrong",6,7,7,7,4
"simmons",6,6,7,7,7
"mcdanielonline",6,6,6,5,6
"mcdanielonline",7,6,6,2,4
"armstrong",4,5,7,7,7
"loyola",6,5,5,6,6
"armstrong",3,4,4,3,5
"loyola",5,6,6,7,7
"mcdanielonline",5,4,5,3,4
"mcdanielonline",6,6,6,6,7
"mcdanielonline",2,4,2,3,3
"kenyon",5,4,5,5,4
"westernkentucky",4,5,3,5,5
"simmons",4,6,6,5,5
"simmons",4,6,5,5,6
"westernkentucky",5,6,5,6,6
"westernkentucky",5,6,6,5,6
"westernkentucky",6,5,4,5,6
"westernkentucky",5,5,5,5,5
"westernkentucky",7,7,7,7,7
"loyola",4,4,4,4,4
"loyola",4,4,4,4,5
"loyola",4,4,6,4,5
"loyola",5,6,7,7,6
"loyola",5,5,4,6,7
"mcdanielonline",4,4,5,4,5
"vcu",5,5,5,5,5
"vcu",5,6,7,6,7
"loyola",5,4,5,5,5
"loyola",5,5,4,4,4
"loyola",4,4,4,4,5
"kenyon",4,5,5,4,4
"kenyon",6,6,6,6,6
"westernkentucky",4,4,4,5,6
"armstrong",3,3,5,4,2
"simmons",4,3,3,3,5
"armstrong",5,5,5,7,7
"armstrong",4,4,4,4,6
"loyola",3,3,5,6,4
"kenyon",5,5,5,5,7
"kenyon",4,6,6,6,6
"kenyon",3,6,6,6,6
"kenyon",5,5,5,4,4
"loyola",5,5,5,5,5
"tamucc",3,5,6,5,6
"simmons",4,5,5,3,5
"loyola",4,4,4,4,4
"loyola",6,6,6,5,5
"vcu",4,4,4,4,4
"vcu",4,4,4,4,4
"armstrong",4,4,4,4,4
"psualtoona",6,6,6,7,6
"psualtoona",5,5,7,5,6
"armstrong",4,4,4,4,4
"armstrong",5,4,4,4,4
"psualtoona",7,5,5,5,5
"armstrong",3,5,5,4,3
"armstrong",4,4,4,4,4
"umich",7,7,7,6,6
"umich",4,4,4,5,5
"umich",6,6,6,6,6
"umich",5,5,5,5,3
"armstrong",4,3,3,4,3
"loyola",4,4,4,4,4
"mcdanielonline",4,4,4,4,4
"tamucc",6,6,6,6,6
"tamucc",4,4,4,4,4
"tamucc",4,5,4,4,4
"westernkentucky",6,5,6,5,6
"westernkentucky",3,3,4,3,3
"westernkentucky",6,6,6,6,6
"westernkentucky",6,7,6,7,7
"westernkentucky",6,6,6,7,7
"westernkentucky",5,5,7,5,5
"westernkentucky",5,6,6,6,5
"simmons",4,5,4,5,6
"westernkentucky",5,4,4,4,4
"tamucc",3,5,5,5,5
"loyola",4,4,4,4,4
"loyola",4,5,5,4,6
"loyola",7,7,7,7,7
"loyola",3,5,5,5,5
"simmons",4,4,4,4,4
"simmons",6,6,6,5,6
"loyola",4,6,6,6,6
"armstrong",3,4,3,4,4
"armstrong",5,6,6,5,5
"armstrong",5,5,5,5,5
"simmons",4,5,5,4,5
"armstrong",4,4,4,4,4
"loyola",7,4,5,5,5
"loyola",4,4,5,5,5
"vcu",5,5,5,5,5
"vcu",5,5,6,6,6
"armstrong",6,6,6,6,6
"armstrong",4,5,5,4,4
"mcdanielonline",5,5,3,4,6
"tamucc",3,5,5,6,7
"tamucc",5,5,5,5,5
"tamucc",5,6,6,3,2
"simmons",6,2,2,6,6
"tamucc",5,6,7,6,6
"simmons",5,4,4,2,2
"westernkentucky",5,6,6,6,6
"westernkentucky",6,5,5,6,6
"westernkentucky",4,5,6,4,4
"westernkentucky",5,5,6,6,5
"loyola",4,4,4,5,5
"loyola",6,6,6,5,7
"vcu",6,7,7,4,6
"yale",4,4,4,4,4
"westernkentucky",4,6,6,3,6
"vcu",4,4,4,4,4
"yale",5,6,6,5,6
"vcu",6,6,6,5,6
"yale",4,4,5,5,4
"yale",4,5,6,6,6
