"g","zhon.dv.1_2","zhon.dv.1_3","zhon.dv.1_7","zhon.dv.1_8","zhon.dv.1_10"
"rotterdam",3,7,3,3,1
"rotterdam",7,7,3,3,2
"rotterdam",7,7,1,1,4
"rotterdam",4,1,1,2,1
"rotterdam",7,1,1,1,4
"rotterdam",6,5,5,4,4
"rotterdam",3,3,5,5,1
"rotterdam",6,6,3,3,5
"rotterdam",3,6,3,1,4
"rotterdam",4,7,1,5,3
"rotterdam",2,2,4,4,3
"rotterdam",2,4,1,2,4
"rotterdam",4,6,3,4,5
"rotterdam",1,1,4,4,5
"rotterdam",6,5,5,5,3
"rotterdam",5,3,3,1,4
"rotterdam",6,6,3,2,3
"rotterdam",2,1,4,3,3
"rotterdam",5,6,3,3,4
"rotterdam",1,7,1,1,7
"rotterdam",6,6,7,5,4
"rotterdam",5,5,6,3,5
"vuw",3,5,4,1,1
"vuw",5,5,2,2,4
"vuw",4,7,4,5,7
"vuw",5,6,7,5,5
"vuw",5,5,3,3,3
"vuw",4,4,1,1,1
"vuw",5,5,1,1,5
"vuw",3,6,4,5,5
"vuw",4,7,4,7,5
"vuw",5,5,3,4,6
"vuw",3,7,1,3,2
"vuw",1,1,4,3,3
"vuw",3,4,4,4,4
"vuw",2,2,2,3,2
"vuw",3,5,4,5,4
"vuw",5,4,1,1,2
"vuw",7,7,1,3,7
"vuw",6,7,3,5,6
"vuw",4,5,1,4,1
"vuw",3,6,2,2,6
"vuw",2,6,3,3,2
"vuw",4,7,2,5,3
"vuw",7,6,1,1,7
"vuw",3,6,1,3,3
"vuw",7,7,3,1,3
"vuw",3,3,1,5,2
"vuw",2,3,2,3,2
"vuw",4,5,5,4,5
"vuw",5,6,1,1,4
"vuw",6,5,3,3,3
"vuw",1,6,5,5,1
"vuw",4,4,1,3,3
"vuw",1,1,1,1,1
"vuw",1,5,1,1,1
"vuw",3,5,2,4,3
"vuw",2,5,4,5,4
"vuw",5,5,2,4,4
"vuw",1,3,2,1,2
"vuw",2,3,3,3,3
"vuw",3,7,3,3,5
"vuw",4,5,3,6,5
"vuw",4,5,3,2,1
"vuw",2,4,1,1,1
"vuw",3,5,2,2,2
"vuw",2,4,1,2,5
"vuw",7,7,4,5,5
"vuw",5,5,1,4,2
"jos",6,6,7,7,7
"jos",7,7,5,7,7
"jos",7,7,5,7,2
"jos",2,4,5,5,4
"jos",7,7,4,4,6
"jos",4,3,5,7,7
"jos",2,3,3,6,7
"jos",3,4,7,7,7
"jos",7,7,4,7,7
"jos",1,4,5,5,7
"jos",4,5,3,4,7
"jos",7,7,7,7,7
"jos",6,7,5,7,6
"jos",6,7,4,7,7
"jos",7,7,5,7,7
"jos",5,2,4,4,7
"fmkbelgrade",2,5,5,6,1
"fmkbelgrade",2,6,5,6,7
"fmkbelgrade",7,7,5,5,7
"fmkbelgrade",7,7,4,7,7
"fmkbelgrade",7,6,6,7,5
"fmkbelgrade",7,7,7,7,7
"fmkbelgrade",4,4,2,2,2
"fmkbelgrade",1,7,2,5,4
"fmkbelgrade",6,5,3,3,6
"fmkbelgrade",7,7,7,7,7
"fmkbelgrade",3,7,6,6,4
"fmkbelgrade",3,5,3,3,2
"fmkbelgrade",5,7,2,2,2
"fmkbelgrade",7,7,7,6,7
"fmkbelgrade",4,5,2,2,5
"fmkbelgrade",1,6,4,5,5
"fmkbelgrade",5,6,5,5,5
"fmkbelgrade",5,7,4,4,5
"fmkbelgrade",5,7,6,5,5
"fmkbelgrade",4,6,4,2,5
"fmkbelgrade",6,6,7,7,7
"fmkbelgrade",2,5,1,2,5
"fmkbelgrade",5,7,3,4,5
"fmkbelgrade",4,7,2,4,4
"fmkbelgrade",7,7,4,4,7
"fmkbelgrade",7,7,5,7,7
"fmkbelgrade",5,7,4,4,6
"fmkbelgrade",7,7,3,3,3
"fmkbelgrade",7,4,4,4,3
"fmkbelgrade",4,4,6,6,3
"fmkbelgrade",7,7,5,5,7
"fmkbelgrade",3,5,7,6,5
"fmkbelgrade",4,7,2,3,6
"fmkbelgrade",7,7,5,6,7
"fmkbelgrade",1,6,2,6,1
"fmkbelgrade",7,7,5,5,7
"fmkbelgrade",3,3,3,5,5
"fmkbelgrade",7,7,2,2,2
"fmkbelgrade",5,5,4,4,2
"fmkbelgrade",7,7,2,2,5
"fmkbelgrade",1,7,7,7,1
"fmkbelgrade",2,3,4,4,2
"fmkbelgrade",7,6,1,1,6
"fmkbelgrade",7,7,7,6,7
"fmkbelgrade",7,7,6,6,5
"cas",4,5,5,7,3
"cas",6,7,2,1,5
"cas",4,4,5,3,5
"cas",4,5,1,1,5
"cas",4,2,1,2,2
"cas",1,6,3,4,5
"cas",5,3,1,1,6
"cas",3,5,1,1,3
"cas",5,6,4,3,5
"cas",4,6,4,1,4
"cas",3,4,3,1,6
"cas",3,5,3,2,5
"cas",1,6,6,1,4
"cas",4,5,5,2,5
"cas",1,7,7,7,6
"cas",4,7,4,3,7
"cas",5,6,2,1,5
"cas",2,4,4,4,4
"cas",7,5,5,2,7
"cas",5,2,2,1,2
"kwazulu",2,7,2,5,6
"kwazulu",2,4,1,2,3
"kwazulu",6,5,4,3,6
"kwazulu",6,6,5,5,6
"kwazulu",4,3,3,2,7
"kwazulu",5,5,4,5,6
"kwazulu",1,5,5,4,5
"kwazulu",4,2,7,6,7
"kwazulu",5,5,1,1,4
"kwazulu",1,2,3,5,7
"kwazulu",5,1,4,3,2
"kwazulu",4,7,4,3,2
"kwazulu",6,7,4,2,7
"kwazulu",7,7,1,6,4
"kwazulu",4,4,2,6,7
"kwazulu",7,6,7,7,7
"kwazulu",7,7,7,6,7
"kwazulu",1,1,3,3,5
"kwazulu",7,7,6,6,6
"kwazulu",1,1,1,1,7
"kwazulu",1,1,5,4,5
"kwazulu",3,6,2,2,4
"kwazulu",1,4,6,5,5
"kwazulu",1,5,1,2,5
"kwazulu",2,7,1,2,7
"kwazulu",3,1,1,3,7
"kwazulu",4,4,5,7,7
"kwazulu",7,7,4,7,7
"kwazulu",7,4,6,2,7
"kwazulu",7,7,2,5,5
"kwazulu",3,2,2,3,5
"kwazulu",3,5,4,4,5
"kwazulu",1,1,1,1,1
"kwazulu",7,7,2,3,7
"puc",4,4,3,4,4
"puc",5,3,1,4,5
"puc",1,1,1,1,1
"puc",3,3,1,1,1
"puc",6,5,2,4,2
"puc",5,1,3,3,2
"puc",6,4,2,4,2
"puc",5,4,1,1,1
"puc",4,4,2,2,4
"puc",3,4,1,2,5
"puc",3,4,1,4,5
"puc",1,2,1,5,2
"puc",1,3,1,1,1
"puc",4,4,2,2,1
"puc",6,6,5,5,5
"puc",4,3,1,1,4
"puc",5,5,1,1,1
"puc",2,7,5,7,5
"puc",1,1,1,1,1
"puc",1,1,1,1,1
"puc",3,5,1,1,2
"puc",4,4,5,5,4
"puc",6,2,3,3,4
"puc",3,5,4,4,3
"puc",1,3,4,4,4
"puc",1,1,1,1,1
"puc",6,6,1,1,3
"puc",6,2,1,1,1
"puc",1,4,4,4,1
"puc",1,1,1,1,1
"puc",7,7,1,1,1
"bogota",3,4,2,2,4
"bogota",1,6,1,6,4
"bogota",6,7,7,2,2
"bogota",4,4,1,1,2
"bogota",4,6,4,4,5
"bogota",2,5,1,1,1
"bogota",2,2,1,1,1
"bogota",6,6,1,1,4
"bogota",3,3,3,3,3
"bogota",7,4,4,6,5
"bogota",7,7,2,2,7
"bogota",4,4,2,1,4
"bogota",3,3,3,3,3
"bogota",5,5,2,1,2
"bogota",4,4,3,3,3
"bogota",2,2,2,1,3
"bogota",6,6,2,3,5
"bogota",4,4,1,1,2
"bogota",6,6,3,4,3
"bogota",5,7,4,4,6
"bogota",4,4,1,1,2
"bogota",5,4,1,1,1
"bogota",2,2,2,1,2
"bogota",6,5,5,5,5
"bogota",6,4,1,1,1
"bogota",4,6,3,3,5
"bogota",2,6,1,1,6
"bogota",3,5,2,5,4
"bogota",4,5,2,1,1
"bogota",2,4,2,1,5
"bogota",7,5,1,1,1
"bogota",6,5,2,2,5
"bogota",4,5,1,1,1
"bogota",4,7,5,5,7
"bogota",6,6,3,3,3
"bogota",5,4,1,1,3
"bogota",6,7,1,1,4
"bogota",7,7,2,3,4
"bogota",1,4,1,1,1
"bogota",4,4,1,1,1
"bogota",2,4,1,1,3
"bogota",3,6,3,2,4
"bogota",4,6,3,5,4
"bogota",7,7,6,6,5
"bogota",2,5,1,1,1
"bogota",3,5,3,2,3
"bogota",5,6,2,2,2
"bogota",4,4,4,4,4
"bogota",7,7,5,3,5
"bogota",5,4,4,3,3
"bogota",4,7,1,1,1
"bogota",6,6,3,6,6
"bogota",1,6,1,1,1
"bogota",6,6,6,5,4
"ulatina",7,4,1,2,5
"ulatina",5,5,4,5,7
"ulatina",5,7,3,7,5
"ulatina",5,6,1,7,2
"ulatina",1,6,1,1,1
"ulatina",3,5,1,1,1
"ulatina",3,3,2,4,1
"ulatina",5,5,1,7,3
"ulatina",4,5,3,3,5
"ulatina",7,7,3,3,6
"ulatina",1,1,1,5,1
"ulatina",1,7,1,5,3
"ulatina",5,7,1,7,7
"ulatina",4,5,2,1,6
"ulatina",4,6,2,4,4
"ulatina",2,5,1,3,4
"ulatina",7,7,3,4,6
"ulatina",1,5,1,2,1
"ulatina",1,7,1,7,7
"ulatina",4,4,3,6,5
"ulatina",7,5,4,7,6
"ulatina",4,4,1,1,5
"ulatina",5,1,3,5,1
"ulatina",7,7,3,7,7
"ulatina",4,6,4,5,4
"ulatina",4,7,4,3,3
"ulatina",4,4,2,3,4
"ulatina",6,5,1,5,3
"ulatina",6,4,1,5,5
"ulatina",2,5,1,1,1
"ulatina",3,4,3,2,4
"ulatina",6,7,5,6,4
"ulatina",4,7,1,4,3
"ulatina",3,7,1,2,1
"ulatina",4,6,2,5,5
"ulatina",5,7,3,6,2
"ulatina",7,7,1,7,7
"ulatina",7,6,1,1,1
"ulatina",7,7,1,1,7
"ulatina",3,5,4,6,4
"ulatina",2,2,2,5,4
"ulatina",3,5,1,2,3
"ulatina",5,6,1,4,5
"ulatina",3,6,3,4,5
"ulatina",3,3,1,1,2
"ulatina",4,6,2,3,3
"ulatina",2,6,1,3,2
"ulatina",3,5,1,1,2
"ulatina",7,7,3,4,6
"ulatina",3,7,4,4,7
"ulatina",6,7,1,3,4
"ulatina",7,5,1,1,1
"ulatina",1,7,1,5,6
"ulatina",5,5,3,3,4
"ulatina",1,1,1,1,1
"ulatina",7,7,1,1,7
"ulatina",5,5,3,2,6
"ulatina",2,2,1,1,2
"ulatina",7,7,1,1,1
"ulatina",4,7,3,3,5
"ulatina",3,7,2,5,2
"ulatina",6,5,4,4,4
"ulatina",5,7,2,3,5
"ulatina",5,3,1,3,2
"ulatina",3,5,1,2,2
"ulatina",7,7,7,7,7
"ulatina",1,4,1,5,4
"ulatina",4,3,1,4,3
"ulatina",4,4,1,1,3
"ulatina",7,7,5,7,7
"ulatina",3,3,3,3,3
"ulatina",1,7,5,5,7
"ulatina",3,6,3,1,3
"ulatina",7,7,3,4,6
"ulatina",2,2,1,1,1
"ulatina",4,5,3,3,3
"ulatina",4,7,1,4,7
"ulatina",7,7,2,2,2
"ulatina",4,7,2,3,5
"ulatina",4,6,2,6,4
"ulatina",7,7,5,7,6
"ulatina",5,4,3,4,3
"ulatina",7,7,5,7,6
"ulatina",3,7,2,5,7
"ulatina",3,3,1,1,2
"uned",2,2,2,2,3
"uned",2,2,2,1,2
"uned",4,1,1,1,4
"uned",3,5,3,3,7
"uned",1,1,1,1,5
"uned",6,7,3,5,6
"uned",2,3,1,1,2
"uned",3,3,2,3,4
"uned",5,7,7,5,7
"uned",1,4,1,1,4
"uned",5,7,1,1,2
"uned",1,7,1,1,1
"uned",5,4,1,1,2
"uned",4,1,1,1,4
"uned",1,5,1,1,5
"uned",1,1,1,1,1
"uned",1,1,1,1,3
"uned",5,5,1,3,6
"uned",3,2,3,1,4
"uned",1,1,1,1,1
"uned",3,3,2,2,2
"uned",1,4,1,1,2
"uned",1,1,1,2,2
"uned",2,7,1,1,1
"uned",3,5,1,1,6
"uned",3,5,1,1,5
"uned",4,4,1,3,4
"uned",1,1,1,1,2
"uned",7,7,7,7,7
"uned",4,4,1,3,5
"uned",1,1,1,1,1
"uned",1,5,1,1,5
"uned",2,5,1,1,4
"uned",4,4,1,1,4
"uned",2,1,2,1,3
"uned",2,2,2,2,2
"uned",1,1,1,1,1
"uned",7,1,1,1,7
"uned",4,2,2,2,2
"uned",4,3,2,3,2
"uned",2,1,1,1,2
"uned",2,2,2,4,3
"uned",5,5,2,2,5
"uned",2,2,1,1,3
"uned",2,6,1,1,1
"uned",2,5,2,1,3
"uned",3,3,4,5,5
"uned",1,1,1,5,2
"uned",1,1,1,1,1
"uned",3,1,1,2,6
"uned",1,6,1,1,2
"uned",3,3,1,1,3
"tanzania",2,6,5,1,6
"tanzania",7,7,7,1,7
"tanzania",7,7,4,1,7
"tanzania",7,7,7,7,7
"tanzania",1,1,7,1,1
"tanzania",5,6,2,5,3
"tanzania",5,2,4,3,4
"tanzania",2,5,4,4,7
"tanzania",1,1,7,1,1
"tanzania",5,6,5,2,3
"tanzania",7,7,2,7,5
"tanzania",5,3,6,3,7
"tanzania",5,1,1,1,1
"tanzaniaon",2,3,6,7,6
"tanzaniaon",7,6,7,7,6
"ouhk",1,1,1,1,1
"ouhk",5,4,3,3,3
"ouhk",1,5,1,1,1
"ouhk",3,1,2,7,7
"ouhk",3,3,3,3,3
"ouhk",3,5,4,6,7
"ouhk",4,1,2,2,1
"ouhk",3,2,2,2,3
"ouhk",6,5,4,3,3
"ouhk",1,1,3,1,1
"ouhk",5,1,7,3,3
"ouhk",5,1,4,5,1
"ouhk",1,1,3,1,4
"metu",1,5,2,2,5
"metu",4,4,2,3,4
"metu",1,1,2,2,1
"metu",7,5,1,1,1
"metu",1,1,1,4,1
"metu",2,4,1,1,4
"metu",5,7,5,6,7
"metu",1,4,2,2,1
"metu",1,5,1,2,6
"metu",1,2,4,4,4
"metu",5,5,5,6,5
"metu",3,4,1,1,5
"metu",3,2,3,5,2
"metu",3,4,1,7,2
"metu",2,2,1,1,1
"metu",4,6,3,1,1
"metu",4,1,3,6,7
"metu",1,6,2,1,6
"metu",4,4,5,4,5
"metu",5,6,1,1,4
"metu",7,7,3,5,5
"metu",2,3,1,1,2
"metu",7,7,1,1,5
"metu",3,7,6,6,1
"metu",5,6,5,5,5
"metu",4,6,7,6,7
"metu",3,6,1,2,3
"metu",1,5,1,1,1
"metu",1,1,1,5,1
"metu",5,4,7,7,7
"metu",1,7,7,7,1
"metu",4,5,4,4,5
"metu",3,7,1,1,7
"metu",1,4,1,2,4
"metu",5,3,3,1,2
"metu",6,1,5,6,5
"metu",3,3,1,2,3
"metu",6,7,1,1,7
"metu",1,6,1,1,4
"metu",6,6,5,5,5
"metu",3,2,1,2,1
"metu",1,7,7,7,7
"metu",3,7,1,1,1
"metu",1,1,1,1,1
"metu",3,2,4,6,4
"metu",1,2,7,3,7
"metu",1,1,1,5,7
"metu",3,2,1,7,1
"metu",3,1,7,2,1
"metu",1,5,1,1,1
"metu",3,5,3,7,4
"metu",1,1,4,3,4
"metu",3,6,5,7,7
"metu",3,5,2,3,3
"metu",5,7,3,2,3
"metu",1,4,5,5,1
"salford",4,5,2,3,5
"salford",2,3,3,5,6
"salford",7,1,2,2,1
"salford",4,2,5,5,3
"salford",1,1,1,7,1
"salford",4,1,3,6,4
"salford",2,2,3,6,6
"salford",1,7,1,5,6
"salford",7,7,2,6,3
"salford",6,3,7,7,7
"salford",7,7,5,6,5
"salford",1,6,5,5,6
"salford",4,3,2,1,3
"salford",5,5,1,5,5
"salford",4,3,5,5,1
"salford",2,1,1,6,1
"salford",7,7,7,7,7
"salford",1,1,7,7,5
"salford",2,2,1,4,4
"salford",2,4,1,4,3
"salford",1,4,7,7,1
"salford",3,2,1,1,4
"salford",2,1,2,1,2
"salford",6,4,1,7,4
"salford",6,4,3,5,6
"salford",1,1,1,1,1
"salford",3,3,2,2,1
"salford",3,5,4,7,4
"salford",5,3,1,7,5
"salford",5,3,1,7,6
"salford",6,7,3,2,5
"salford",7,7,2,7,5
"salford",6,5,2,7,7
"salford",7,7,5,7,7
"salford",6,6,2,5,6
"salford",6,7,3,7,7
"salford",5,1,1,4,1
"salford",7,7,2,7,7
"salford",1,1,4,5,6
"northumbria",3,2,1,5,5
"northumbria",4,3,1,3,4
"northumbria",5,5,1,6,6
"northumbria",5,1,2,3,5
"northumbria",7,7,2,2,7
"northumbria",6,4,1,5,5
"northumbria",2,2,2,4,2
"northumbria",4,3,2,5,7
"northumbria",1,1,5,5,1
"northumbria",1,1,1,4,4
"northumbria",4,1,1,1,2
"northumbria",4,3,2,2,5
"northumbria",4,1,4,1,6
"northumbria",4,4,2,6,6
"northumbria",6,2,4,3,5
"northumbria",1,2,2,1,1
"northumbria",5,4,2,3,5
"northumbria",3,2,1,5,5
"northumbria",1,1,3,3,5
"northumbria",3,3,5,4,4
"northumbria",1,1,1,7,4
"northumbria",1,3,1,4,4
"northumbria",5,6,3,6,7
"northumbria",5,1,4,6,4
"northumbria",4,3,2,2,6
"northumbria",5,1,5,5,1
"northumbria",7,7,6,7,7
"northumbria",4,3,2,3,3
"northumbria",5,5,2,2,5
"northumbria",2,1,1,3,3
"northumbria",3,6,2,4,5
"northumbria",1,2,1,1,3
"northumbria",7,5,6,4,4
"northumbria",1,1,5,5,6
"northumbria",4,3,1,1,1
"northumbria",7,7,1,7,4
"northumbria",6,4,1,3,3
"northumbria",3,1,1,7,5
"northumbria",5,2,2,6,6
"northumbria",5,7,3,6,6
"northumbria",4,4,1,4,4
"lse",4,2,4,3,2
"lse",3,1,1,1,1
"lse",3,3,1,1,5
"lse",5,7,4,2,5
"lse",3,4,2,2,4
"lse",3,3,3,4,4
"lse",1,2,5,3,7
"lse",5,4,4,4,5
"lse",5,4,1,1,5
"lse",1,3,1,1,5
"lse",6,6,1,5,7
"lse",7,2,1,6,3
"lse",4,4,5,7,6
"lse",3,4,4,4,3
"lse",3,2,1,2,4
"lse",7,7,5,6,6
"lse",3,7,1,2,4
"lse",6,6,6,6,6
"lse",3,3,3,3,3
"lse",3,3,3,4,4
"lse",2,7,5,5,6
"lse",3,4,2,3,4
"lse",5,7,6,2,4
"lse",5,5,2,6,5
"lse",3,6,5,2,6
"lse",4,2,3,2,6
"lse",3,3,2,1,3
"lse",1,5,4,7,7
"lse",7,2,4,5,5
"lse",4,7,4,1,4
"lse",3,2,5,6,6
"lse",2,3,1,4,7
"lse",4,4,4,6,6
"lse",1,1,2,5,7
"lse",7,7,3,4,7
"lse",2,2,1,1,3
"lse",4,4,3,4,4
"lse",5,5,1,2,3
"lse",1,4,5,2,7
"lse",7,4,3,3,4
"lse",6,6,1,1,6
"lse",3,1,5,1,6
"lse",2,2,2,4,5
"lse",6,3,3,5,6
"lse",1,3,5,5,5
"lse",1,2,3,6,7
"lse",1,4,1,3,5
"lse",6,1,5,3,4
"lse",2,2,2,2,4
"lse",4,4,1,3,3
"lse",1,1,3,3,5
"hawaiion",4,4,2,5,5
"hawaiion",5,7,2,3,3
"hawaiion",5,5,1,1,5
"hawaiion",1,6,5,7,6
"hawaiion",7,7,4,7,7
"hawaiion",3,3,2,3,4
"hawaiion",1,2,1,1,1
"hawaiion",7,5,4,5,4
"hawaiion",7,7,7,7,7
"hawaiion",1,1,5,5,4
"hawaiion",7,7,5,6,5
"hawaiion",7,2,1,4,4
"hawaiion",7,1,7,4,5
"hawaiion",5,5,3,4,5
"hawaiion",1,1,3,1,4
"hawaiion",6,7,3,4,3
"hawaiion",5,6,4,7,7
"hawaiion",3,6,4,6,7
"hawaiion",4,7,5,4,7
"hawaiion",1,7,7,7,1
"hawaiion",1,5,4,5,5
"hawaiion",7,7,4,7,7
"hawaiion",2,5,1,3,5
"hawaiion",1,1,1,1,1
"hawaiion",4,1,7,6,6
"hawaiion",5,6,5,4,6
"hawaiion",1,1,3,7,7
"hawaiion",2,2,1,1,1
"hawaiion",2,2,1,1,4
"hawaiion",7,7,5,6,6
"hawaiion",1,5,2,2,4
"hawaiion",4,7,7,7,7
"hawaiion",5,4,2,4,3
"hawaiion",3,7,1,1,2
"hawaiion",6,6,2,3,3
"hawaiion",2,5,3,7,5
"hawaiion",3,5,1,5,4
"hawaiion",5,5,3,4,4
"hawaiion",5,7,6,7,7
"hawaiion",3,5,1,3,4
"hawaiion",6,5,5,5,4
"hawaiion",7,7,2,5,7
"hawaiion",4,7,5,7,6
"hawaiion",1,4,2,1,4
"hawaiion",1,4,1,1,7
"hawaiion",7,3,7,5,7
"hawaiion",5,7,6,7,7
"hawaiion",7,7,6,7,7
"hawaiion",1,5,2,2,3
"hawaiion",5,5,5,7,7
"hawaiion",4,1,3,1,6
"hawaiion",4,6,6,4,7
"hawaiion",1,7,2,1,4
"hawaiion",4,4,6,7,5
"brookcuny",5,7,7,7,7
"brookcuny",7,7,2,2,4
"brookcuny",7,7,3,5,7
"brookcuny",7,5,4,4,5
"brookcuny",3,3,6,7,6
"brookcuny",7,7,6,6,7
"brookcuny",1,2,5,5,5
"brookcuny",2,4,1,2,2
"brookcuny",5,5,2,2,4
"brookcuny",4,4,6,6,5
"brookcuny",3,7,7,7,7
"brookcuny",7,7,7,1,7
"brookcuny",5,5,3,4,5
"brookcuny",1,6,7,7,7
"brookcuny",4,7,7,5,7
"brookcuny",5,2,3,2,2
"brookcuny",5,6,5,1,4
"brookcuny",7,7,7,7,7
"brookcuny",7,7,7,7,7
"brookcuny",6,6,6,7,7
"brookcuny",7,7,4,4,7
"brookcuny",4,4,4,4,4
"brookcuny",2,7,7,3,7
"brookcuny",7,3,3,7,7
"brookcuny",7,7,4,7,5
"brookcuny",3,7,7,7,7
"brookcuny",7,7,7,7,7
"brookcuny",5,6,4,5,6
"brookcuny",7,7,6,6,6
"brookcuny",1,1,4,5,7
"brookcuny",4,4,5,4,5
"brookcuny",7,7,1,4,6
"brookcuny",7,7,5,6,5
"brookcuny",1,1,5,7,4
"brookcuny",4,6,2,4,3
"brookcuny",7,4,4,4,2
"brookcuny",7,7,6,7,6
"brookcuny",4,4,3,5,5
"brookcuny",7,2,7,7,7
"brookcuny",3,7,7,7,5
"brookcuny",4,4,3,2,4
"brookcuny",3,4,5,7,7
"brookcuny",3,7,6,6,7
"brookcuny",6,6,1,3,3
"brookcuny",3,7,4,7,4
"brookcuny",1,7,7,7,7
"brookcuny",7,7,4,5,6
"brookcuny",6,7,4,3,5
"brookcuny",1,7,7,7,7
"brookcuny",3,5,3,4,6
"brookcuny",7,7,4,6,7
"brookcuny",7,7,1,6,7
"brookcuny",7,7,5,7,7
"brookcuny",1,1,1,1,1
"brookcuny",6,7,7,7,5
"brookcuny",5,5,5,5,5
"brookcuny",5,7,7,7,7
"brookcuny",2,4,1,3,4
"brookcuny",6,7,3,4,6
"brookcuny",3,3,4,4,3
"brookcuny",3,7,4,6,7
"brookcuny",2,2,5,5,4
"brookcuny",1,2,2,2,3
"brookcuny",5,6,7,7,7
"brookcuny",7,6,7,7,7
"brookcuny",7,7,4,7,7
"brookcuny",7,7,6,7,7
"brookcuny",5,7,5,4,4
"brookcuny",4,4,4,4,4
"brookcuny",6,5,2,4,7
"brookcuny",2,2,1,1,2
"brookcuny",4,4,1,1,1
"brookcuny",7,7,5,5,5
"brookcuny",3,5,1,2,4
"brookcuny",4,4,1,1,1
"brookcuny",6,5,4,3,5
"brookcuny",5,6,2,4,6
"brookcuny",7,6,7,7,7
"brookcuny",4,4,3,4,4
"brookcuny",7,7,4,6,7
"brookcuny",5,7,6,7,7
"brookcuny",3,3,3,3,3
"brookcuny",4,3,2,2,2
"brookcuny",1,1,5,4,4
"brookcuny",6,5,4,4,6
"brookcuny",6,5,2,3,6
"brookcuny",7,7,5,6,7
"georgefox",2,5,4,5,4
"georgefox",3,6,2,3,2
"georgefox",1,3,1,3,4
"georgefox",1,5,5,4,5
"georgefox",1,7,5,5,7
"georgefox",6,5,3,2,5
"georgefox",2,1,1,1,1
"georgefox",2,4,2,2,5
"georgefox",1,1,3,5,4
"georgefox",4,7,5,7,7
"georgefox",1,6,5,7,2
"georgefox",7,7,6,7,7
"georgefox",1,5,6,5,6
"georgefox",1,2,2,2,1
"georgefox",4,1,7,7,5
"georgefox",4,4,4,5,4
"georgefox",1,6,5,5,1
"georgefox",1,6,3,3,6
"georgefox",1,7,7,6,7
"georgefox",7,5,5,6,7
"georgefox",3,3,2,4,3
"georgefox",1,7,4,5,2
"georgefox",2,1,3,4,6
"georgefox",1,4,3,1,1
"georgefox",1,7,1,1,7
"georgefox",1,1,7,7,7
"georgefox",3,3,4,6,4
"georgefox",6,6,5,5,6
"georgefox",4,7,6,7,6
"georgefox",5,6,5,7,6
"georgefox",1,1,1,1,1
"georgefox",1,3,1,1,2
"georgefox",4,5,2,5,4
"georgefox",1,7,2,5,3
"georgefox",1,3,4,3,4
"georgefox",2,1,4,7,5
"georgefox",2,3,4,3,1
"georgefox",2,6,2,5,6
"georgefox",3,6,4,5,5
"georgefox",6,4,6,6,3
"georgefox",5,5,3,1,5
"georgefox",1,7,4,5,7
"georgefox",2,2,6,6,4
"georgefox",1,5,3,6,7
"georgefox",4,3,1,6,6
"georgefox",1,7,3,7,3
"georgefox",2,2,2,2,2
"georgefox",5,5,3,2,5
"georgefox",6,7,7,1,7
"georgefox",5,5,3,3,4
"georgefox",7,5,1,5,7
"georgefox",2,5,5,5,4
"georgefox",2,2,1,1,4
"georgefox",2,6,7,7,5
"georgefox",1,7,3,2,2
"georgefox",3,5,1,2,6
"georgefox",1,7,6,7,7
"georgefox",7,7,6,7,7
"georgefox",5,4,3,4,5
"georgefox",3,7,1,2,5
"georgefox",5,5,1,2,6
"georgefox",5,5,3,3,1
"georgefox",7,7,4,2,7
"georgefox",5,7,5,6,7
"georgefox",4,6,5,3,5
"georgefox",5,3,3,4,6
"ritonline",4,5,6,5,1
"ritonline",5,5,4,5,5
"ritonline",4,5,3,4,5
"ritonline",4,7,2,4,3
"ritonline",7,3,1,3,5
"ritonline",2,2,5,6,6
"ritonline",7,5,5,6,6
"ritonline",3,6,4,3,3
"ritonline",1,1,3,2,1
"ritonline",5,5,2,4,5
"ritonline",6,6,3,5,5
"ritonline",7,1,5,5,7
"ritonline",1,7,4,1,2
"ritonline",6,6,2,5,6
"ritonline",7,7,2,7,7
"ritonline",5,1,1,1,1
"ritonline",1,2,1,1,1
"ritonline",3,3,1,2,4
"ritonline",3,3,1,1,2
"ritonline",7,4,5,7,7
"ritonline",7,7,1,1,5
"ritonline",1,1,1,1,2
"ritonline",4,5,3,7,6
"ritonline",3,3,2,3,1
"ritonline",3,6,2,4,6
"ritonline",3,4,3,3,4
"ritonline",3,3,5,5,7
"ritonline",3,7,5,7,7
"ritonline",1,1,1,1,1
"ritonline",5,4,1,3,4
"ritonline",3,3,1,2,4
"ritonline",2,5,3,2,5
"ritonline",3,7,5,4,7
"ritonline",6,4,3,7,7
"ritonline",4,7,7,7,7
"ritonline",2,4,3,2,4
"jmu",1,2,3,2,1
"jmu",7,5,3,6,3
"jmu",5,5,3,5,5
"jmu",4,7,6,3,7
"jmu",7,7,5,5,5
"jmu",6,6,5,7,5
"jmu",5,7,5,2,4
"jmu",2,7,5,4,4
"jmu",7,7,3,5,6
"jmu",7,5,5,5,6
"jmu",4,4,3,3,5
"jmu",7,4,1,3,3
"jmu",7,7,7,6,7
"jmu",1,7,5,3,6
"jmu",1,6,2,4,7
"jmu",5,7,7,7,7
"jmu",2,5,5,6,4
"jmu",5,7,4,5,5
"jmu",5,6,2,4,3
"jmu",1,1,4,2,1
"jmu",4,6,2,4,5
"jmu",1,7,5,7,6
"jmu",4,5,5,6,7
"jmu",1,4,7,7,2
